view,variant,Elo,Ehi,entries
originalEta,No Correction,2,4,6270173
originalEta,No Correction,4,6,102549
originalEta,No Correction,6,8,5394
originalEta,No Correction,8,10,612
originalEta,No Correction,10,12,110
originalEta,No Correction,12,15,30
originalEta,No Correction,15,20,22
originalEta,No Correction,20,30,0
originalEta,Legacy Constant b-corr,2,4,6270173
originalEta,Legacy Constant b-corr,4,6,102549
originalEta,Legacy Constant b-corr,6,8,5394
originalEta,Legacy Constant b-corr,8,10,612
originalEta,Legacy Constant b-corr,10,12,110
originalEta,Legacy Constant b-corr,12,15,30
originalEta,Legacy Constant b-corr,15,20,22
originalEta,Legacy Constant b-corr,20,30,0
originalEta,CLUS-CP(EA),2,4,6270173
originalEta,CLUS-CP(EA),4,6,102549
originalEta,CLUS-CP(EA),6,8,5394
originalEta,CLUS-CP(EA),8,10,612
originalEta,CLUS-CP(EA),10,12,110
originalEta,CLUS-CP(EA),12,15,30
originalEta,CLUS-CP(EA),15,20,22
originalEta,CLUS-CP(EA),20,30,0
originalEta,Energy/|#eta|-Dep b-correction,2,4,6270173
originalEta,Energy/|#eta|-Dep b-correction,4,6,102549
originalEta,Energy/|#eta|-Dep b-correction,6,8,5394
originalEta,Energy/|#eta|-Dep b-correction,8,10,612
originalEta,Energy/|#eta|-Dep b-correction,10,12,110
originalEta,Energy/|#eta|-Dep b-correction,12,15,30
originalEta,Energy/|#eta|-Dep b-correction,15,20,22
originalEta,Energy/|#eta|-Dep b-correction,20,30,0
originalEta,Energy-Dep b-correction,2,4,6270173
originalEta,Energy-Dep b-correction,4,6,102549
originalEta,Energy-Dep b-correction,6,8,5394
originalEta,Energy-Dep b-correction,8,10,612
originalEta,Energy-Dep b-correction,10,12,110
originalEta,Energy-Dep b-correction,12,15,30
originalEta,Energy-Dep b-correction,15,20,22
originalEta,Energy-Dep b-correction,20,30,0
originalEta,EA-mix,2,4,6270173
originalEta,EA-mix,4,6,102549
originalEta,EA-mix,6,8,5394
originalEta,EA-mix,8,10,612
originalEta,EA-mix,10,12,110
originalEta,EA-mix,12,15,30
originalEta,EA-mix,15,20,22
originalEta,EA-mix,20,30,0
originalEta,PDC-raw,2,4,6270173
originalEta,PDC-raw,4,6,102549
originalEta,PDC-raw,6,8,5394
originalEta,PDC-raw,8,10,612
originalEta,PDC-raw,10,12,110
originalEta,PDC-raw,12,15,30
originalEta,PDC-raw,15,20,22
originalEta,PDC-raw,20,30,0
originalEta,PDC-corr,2,4,6270173
originalEta,PDC-corr,4,6,102549
originalEta,PDC-corr,6,8,5394
originalEta,PDC-corr,8,10,612
originalEta,PDC-corr,10,12,110
originalEta,PDC-corr,12,15,30
originalEta,PDC-corr,15,20,22
originalEta,PDC-corr,20,30,0
fullEta,No Correction,2,4,5924869
fullEta,No Correction,4,6,94671
fullEta,No Correction,6,8,4890
fullEta,No Correction,8,10,559
fullEta,No Correction,10,12,101
fullEta,No Correction,12,15,29
fullEta,No Correction,15,20,21
fullEta,No Correction,20,30,0
fullEta,Legacy Constant b-corr,2,4,5924869
fullEta,Legacy Constant b-corr,4,6,94671
fullEta,Legacy Constant b-corr,6,8,4890
