series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,1.28457e-06,0.000124421,0.010121,8.79786e-05
0,Constant-b (Production) Uncorr,eta,5,-0.000370647,0.000720116,0.0102094,0.000509199
0,Constant-b (Production) Uncorr,eta,7,0.000928571,0.00149635,0.00395897,0.00105808
0,Constant-b (Production) Uncorr,eta,9,0.005,0.00318198,0.0045,0.00225
0,Constant-b (Production) Uncorr,eta,11,-0.0045,0,0,0
1,(Production) CP(EA |#eta|+E),eta,3,-2.24422e-05,0.000120613,0.00981124,8.52861e-05
1,(Production) CP(EA |#eta|+E),eta,5,-0.000574627,0.000712883,0.0101069,0.000504084
1,(Production) CP(EA |#eta|+E),eta,7,0.00164286,0.00139135,0.00368117,0.000983834
1,(Production) CP(EA |#eta|+E),eta,9,0.0045,0.00424264,0.006,0.003
1,(Production) CP(EA |#eta|+E),eta,11,-0.0045,0,0,0
