series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.000665483,4.73976e-05,0.00385556,3.35152e-05
0,no corr, cluster,phi,5,-0.00071393,0.000252695,0.00358257,0.000178683
0,no corr, cluster,phi,7,-0.000214286,0.00102448,0.00271052,0.000724418
0,no corr, cluster,phi,9,-0.0005,0.00212132,0.003,0.0015
0,no corr, cluster,phi,11,-0.0065,0,0,0
1,CorrectPosition, cluster,phi,3,-0.000528109,4.2302e-05,0.00344105,2.9912e-05
1,CorrectPosition, cluster,phi,5,-0.000629353,0.000192083,0.00272325,0.000135823
1,CorrectPosition, cluster,phi,7,-0.00164286,0.000740341,0.00195876,0.0005235
1,CorrectPosition, cluster,phi,9,0.002,0.00106066,0.0015,0.00075
1,CorrectPosition, cluster,phi,11,-0.0025,0,0,0
2,no corr, cluster,eta,3,1.28457e-06,0.000124421,0.010121,8.79786e-05
2,no corr, cluster,eta,5,-0.000370647,0.000720116,0.0102094,0.000509199
2,no corr, cluster,eta,7,0.000928571,0.00149635,0.00395897,0.00105808
2,no corr, cluster,eta,9,0.005,0.00318198,0.0045,0.00225
2,no corr, cluster,eta,11,-0.0045,0,0,0
3,CorrectPosition, cluster,eta,3,-2.36512e-05,0.000120913,0.00983563,8.54982e-05
3,CorrectPosition, cluster,eta,5,-0.000674129,0.000719227,0.0101968,0.00050857
3,CorrectPosition, cluster,eta,7,0.00178571,0.00157421,0.00416497,0.00111313
3,CorrectPosition, cluster,eta,9,0.0045,0.00494975,0.007,0.0035
3,CorrectPosition, cluster,eta,11,-0.0045,0,0,0
