series,variant,residual,E,mu,dmu,sigma,dsigma
0,PDC raw,phi,3,-0.000615309,4.9517e-05,0.00402796,3.50138e-05
0,PDC raw,phi,5,-0.000708955,0.000284463,0.00403296,0.000201146
0,PDC raw,phi,7,0.000928571,0.00122653,0.00324509,0.000867287
0,PDC raw,phi,9,-0.001,0.000353553,0.0005,0.00025
0,PDC raw,phi,11,-0.0055,0,0,0
0,PDC raw,phi,13.5,0,0,0,0
0,PDC raw,phi,17.5,0,0,0,0
0,PDC raw,phi,25,0,0,0,0
1,PDC corrected,phi,3,-0.000522971,4.17131e-05,0.00339315,2.94956e-05
1,PDC corrected,phi,5,-0.000644279,0.000212992,0.00301968,0.000150608
1,PDC corrected,phi,7,-0.0005,0.000857143,0.00226779,0.000606092
1,PDC corrected,phi,9,0.0015,1.01802e-11,1.4397e-11,7.19848e-12
1,PDC corrected,phi,11,-0.0025,0,0,0
1,PDC corrected,phi,13.5,0,0,0,0
1,PDC corrected,phi,17.5,0,0,0,0
1,PDC corrected,phi,25,0,0,0,0
2,no corr, cluster,phi,3,-0.000665483,4.73976e-05,0.00385556,3.35152e-05
2,no corr, cluster,phi,5,-0.00071393,0.000252695,0.00358257,0.000178683
2,no corr, cluster,phi,7,-0.000214286,0.00102448,0.00271052,0.000724418
2,no corr, cluster,phi,9,-0.0005,0.00212132,0.003,0.0015
2,no corr, cluster,phi,11,-0.0065,0,0,0
2,no corr, cluster,phi,13.5,0,0,0,0
2,no corr, cluster,phi,17.5,0,0,0,0
2,no corr, cluster,phi,25,0,0,0,0
3,CorrectPosition, cluster,phi,3,-0.000528109,4.2302e-05,0.00344105,2.9912e-05
3,CorrectPosition, cluster,phi,5,-0.000629353,0.000192083,0.00272325,0.000135823
3,CorrectPosition, cluster,phi,7,-0.00164286,0.000740341,0.00195876,0.0005235
3,CorrectPosition, cluster,phi,9,0.002,0.00106066,0.0015,0.00075
3,CorrectPosition, cluster,phi,11,-0.0025,0,0,0
3,CorrectPosition, cluster,phi,13.5,0,0,0,0
3,CorrectPosition, cluster,phi,17.5,0,0,0,0
3,CorrectPosition, cluster,phi,25,0,0,0,0
4,b(E) corr, cluster,phi,3,-0.000603672,4.02565e-05,0.00327466,2.84657e-05
4,b(E) corr, cluster,phi,5,-0.000679104,0.000180725,0.00256221,0.000127792
4,b(E) corr, cluster,phi,7,-0.00178571,0.000691472,0.00182946,0.000488945
4,b(E) corr, cluster,phi,9,0.002,0.00176777,0.0025,0.00125
4,b(E) corr, cluster,phi,11,-0.0045,0,0,0
4,b(E) corr, cluster,phi,13.5,0,0,0,0
4,b(E) corr, cluster,phi,17.5,0,0,0,0
4,b(E) corr, cluster,phi,25,0,0,0,0
5,CorrectPosition(EA geom), cluster,phi,3,-0.0005872,4.22971e-05,0.00344065,2.99086e-05
5,CorrectPosition(EA geom), cluster,phi,5,-0.000654229,0.000191669,0.00271738,0.000135531
5,CorrectPosition(EA geom), cluster,phi,7,-0.00164286,0.000740341,0.00195876,0.0005235
5,CorrectPosition(EA geom), cluster,phi,9,0.002,0.00106066,0.0015,0.00075
5,CorrectPosition(EA geom), cluster,phi,11,-0.0025,0,0,0
5,CorrectPosition(EA geom), cluster,phi,13.5,0,0,0,0
5,CorrectPosition(EA geom), cluster,phi,17.5,0,0,0,0
5,CorrectPosition(EA geom), cluster,phi,25,0,0,0,0
6,CorrectPosition(EA |#eta|+E), cluster,phi,3,-0.000529318,4.01108e-05,0.00326281,2.83627e-05
6,CorrectPosition(EA |#eta|+E), cluster,phi,5,-0.000679104,0.000186786,0.00264815,0.000132078
6,CorrectPosition(EA |#eta|+E), cluster,phi,7,-0.00121429,0.000720382,0.00190595,0.000509387
6,CorrectPosition(EA |#eta|+E), cluster,phi,9,0.0015,0.00141421,0.002,0.001
6,CorrectPosition(EA |#eta|+E), cluster,phi,11,-0.0035,1.48099e-11,1.48099e-11,1.04722e-11
6,CorrectPosition(EA |#eta|+E), cluster,phi,13.5,0,0,0,0
6,CorrectPosition(EA |#eta|+E), cluster,phi,17.5,0,0,0,0
6,CorrectPosition(EA |#eta|+E), cluster,phi,25,0,0,0,0
7,CorrectPosition(EA E-only), cluster,phi,3,-0.000531283,4.01849e-05,0.00326884,2.8415e-05
7,CorrectPosition(EA E-only), cluster,phi,5,-0.000679104,0.000186521,0.00264439,0.00013189
7,CorrectPosition(EA E-only), cluster,phi,7,-0.00121429,0.000720382,0.00190595,0.000509387
7,CorrectPosition(EA E-only), cluster,phi,9,0.0015,0.00141421,0.002,0.001
