series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.000665483,4.73976e-05,0.00385556,3.35152e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00071393,0.000252695,0.00358257,0.000178683
0,Constant-b (Production) Uncorr,phi,7,-0.000214286,0.00102448,0.00271052,0.000724418
0,Constant-b (Production) Uncorr,phi,9,-0.0005,0.00212132,0.003,0.0015
0,Constant-b (Production) Uncorr,phi,11,-0.0065,0,0,0
0,Constant-b (Production) Uncorr,phi,13.5,0,0,0,0
0,Constant-b (Production) Uncorr,phi,17.5,0,0,0,0
0,Constant-b (Production) Uncorr,phi,25,0,0,0,0
1,Constant-b (Production) Corr,phi,3,-0.000528109,4.2302e-05,0.00344105,2.9912e-05
1,Constant-b (Production) Corr,phi,5,-0.000629353,0.000192083,0.00272325,0.000135823
1,Constant-b (Production) Corr,phi,7,-0.00164286,0.000740341,0.00195876,0.0005235
1,Constant-b (Production) Corr,phi,9,0.002,0.00106066,0.0015,0.00075
1,Constant-b (Production) Corr,phi,11,-0.0025,0,0,0
1,Constant-b (Production) Corr,phi,13.5,0,0,0,0
1,Constant-b (Production) Corr,phi,17.5,0,0,0,0
1,Constant-b (Production) Corr,phi,25,0,0,0,0
2,Variable-b (Benchmark) Uncorr,phi,3,-0.000615309,4.9517e-05,0.00402796,3.50138e-05
2,Variable-b (Benchmark) Uncorr,phi,5,-0.000708955,0.000284463,0.00403296,0.000201146
2,Variable-b (Benchmark) Uncorr,phi,7,0.000928571,0.00122653,0.00324509,0.000867287
2,Variable-b (Benchmark) Uncorr,phi,9,-0.001,0.000353553,0.0005,0.00025
2,Variable-b (Benchmark) Uncorr,phi,11,-0.0055,0,0,0
2,Variable-b (Benchmark) Uncorr,phi,13.5,0,0,0,0
2,Variable-b (Benchmark) Uncorr,phi,17.5,0,0,0,0
2,Variable-b (Benchmark) Uncorr,phi,25,0,0,0,0
3,Variable-b (Benchmark) Corr,phi,3,-0.000522971,4.17131e-05,0.00339315,2.94956e-05
3,Variable-b (Benchmark) Corr,phi,5,-0.000644279,0.000212992,0.00301968,0.000150608
3,Variable-b (Benchmark) Corr,phi,7,-0.0005,0.000857143,0.00226779,0.000606092
3,Variable-b (Benchmark) Corr,phi,9,0.0015,1.01802e-11,1.4397e-11,7.19848e-12
3,Variable-b (Benchmark) Corr,phi,11,-0.0025,0,0,0
3,Variable-b (Benchmark) Corr,phi,13.5,0,0,0,0
3,Variable-b (Benchmark) Corr,phi,17.5,0,0,0,0
3,Variable-b (Benchmark) Corr,phi,25,0,0,0,0
