series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,-0.000615309,4.9517e-05,0.00402796,3.50138e-05
0,no corr, scratch,phi,5,-0.000708955,0.000284463,0.00403296,0.000201146
0,no corr, scratch,phi,7,0.000928571,0.00122653,0.00324509,0.000867287
0,no corr, scratch,phi,9,-0.001,0.000353553,0.0005,0.00025
0,no corr, scratch,phi,11,-0.0055,0,0,0
1,no corr, cluster,phi,3,-0.000665483,4.73976e-05,0.00385556,3.35152e-05
1,no corr, cluster,phi,5,-0.00071393,0.000252695,0.00358257,0.000178683
1,no corr, cluster,phi,7,-0.000214286,0.00102448,0.00271052,0.000724418
1,no corr, cluster,phi,9,-0.0005,0.00212132,0.003,0.0015
1,no corr, cluster,phi,11,-0.0065,0,0,0
2,no corr, scratch,eta,3,5.17085e-05,0.00012431,0.0101097,8.79003e-05
2,no corr, scratch,eta,5,-0.000235,0.000711283,0.0100591,0.000502953
2,no corr, scratch,eta,7,0.000928571,0.00160175,0.00423783,0.00113261
2,no corr, scratch,eta,9,0.005,0.00318198,0.0045,0.00225
2,no corr, scratch,eta,11,-0.0035,1.48099e-11,1.48099e-11,1.04722e-11
3,no corr, cluster,eta,3,1.28457e-06,0.000124421,0.010121,8.79786e-05
3,no corr, cluster,eta,5,-0.000370647,0.000720116,0.0102094,0.000509199
3,no corr, cluster,eta,7,0.000928571,0.00149635,0.00395897,0.00105808
3,no corr, cluster,eta,9,0.005,0.00318198,0.0045,0.00225
3,no corr, cluster,eta,11,-0.0045,0,0,0
