series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,eta,3,5.17085e-05,0.00012431,0.0101097,8.79003e-05
0,from scratch,eta,5,-0.000235,0.000711283,0.0100591,0.000502953
0,from scratch,eta,7,0.000928571,0.00160175,0.00423783,0.00113261
0,from scratch,eta,9,0.005,0.00318198,0.0045,0.00225
0,from scratch,eta,11,-0.0035,1.48099e-11,1.48099e-11,1.04722e-11
1,clusterizer,eta,3,1.28457e-06,0.000124421,0.010121,8.79786e-05
1,clusterizer,eta,5,-0.000370647,0.000720116,0.0102094,0.000509199
1,clusterizer,eta,7,0.000928571,0.00149635,0.00395897,0.00105808
1,clusterizer,eta,9,0.005,0.00318198,0.0045,0.00225
1,clusterizer,eta,11,-0.0045,0,0,0
