series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,phi,3,-0.000615309,4.9517e-05,0.00402796,3.50138e-05
0,from scratch,phi,5,-0.000708955,0.000284463,0.00403296,0.000201146
0,from scratch,phi,7,0.000928571,0.00122653,0.00324509,0.000867287
0,from scratch,phi,9,-0.001,0.000353553,0.0005,0.00025
0,from scratch,phi,11,-0.0055,0,0,0
1,clusterizer,phi,3,-0.000665483,4.73976e-05,0.00385556,3.35152e-05
1,clusterizer,phi,5,-0.00071393,0.000252695,0.00358257,0.000178683
1,clusterizer,phi,7,-0.000214286,0.00102448,0.00271052,0.000724418
1,clusterizer,phi,9,-0.0005,0.00212132,0.003,0.0015
1,clusterizer,phi,11,-0.0065,0,0,0
