series,variant,residual,E,mu,dmu,sigma,dsigma
0,b(E) corr, scratch,phi,3,-0.000522971,4.17131e-05,0.00339315,2.94956e-05
0,b(E) corr, scratch,phi,5,-0.000644279,0.000212992,0.00301968,0.000150608
0,b(E) corr, scratch,phi,7,-0.0005,0.000857143,0.00226779,0.000606092
0,b(E) corr, scratch,phi,9,0.0015,1.01802e-11,1.4397e-11,7.19848e-12
0,b(E) corr, scratch,phi,11,-0.0025,0,0,0
1,CorrectPosition, cluster,phi,3,-0.000528109,4.2302e-05,0.00344105,2.9912e-05
1,CorrectPosition, cluster,phi,5,-0.000629353,0.000192083,0.00272325,0.000135823
1,CorrectPosition, cluster,phi,7,-0.00164286,0.000740341,0.00195876,0.0005235
1,CorrectPosition, cluster,phi,9,0.002,0.00106066,0.0015,0.00075
1,CorrectPosition, cluster,phi,11,-0.0025,0,0,0
2,b(E) corr, scratch,eta,3,7.25514e-05,0.000120877,0.00983196,8.54726e-05
2,b(E) corr, scratch,eta,5,-0.000166667,0.000712271,0.0100982,0.000503652
2,b(E) corr, scratch,eta,7,0.00121429,0.00167471,0.00443087,0.0011842
2,b(E) corr, scratch,eta,9,0.0045,0.00424264,0.006,0.003
2,b(E) corr, scratch,eta,11,-0.0045,0,0,0
3,CorrectPosition, cluster,eta,3,-2.36512e-05,0.000120913,0.00983563,8.54982e-05
3,CorrectPosition, cluster,eta,5,-0.000674129,0.000719227,0.0101968,0.00050857
3,CorrectPosition, cluster,eta,7,0.00178571,0.00157421,0.00416497,0.00111313
3,CorrectPosition, cluster,eta,9,0.0045,0.00494975,0.007,0.0035
3,CorrectPosition, cluster,eta,11,-0.0045,0,0,0
