series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,eta,3,5.17085e-05,0.00012431,0.0101097,8.79003e-05
0,no corr, scratch,eta,5,-0.000235,0.000711283,0.0100591,0.000502953
0,no corr, scratch,eta,7,0.000928571,0.00160175,0.00423783,0.00113261
0,no corr, scratch,eta,9,0.005,0.00318198,0.0045,0.00225
0,no corr, scratch,eta,11,-0.0035,1.48099e-11,1.48099e-11,1.04722e-11
1,b(E) corr, scratch,eta,3,7.25514e-05,0.000120877,0.00983196,8.54726e-05
1,b(E) corr, scratch,eta,5,-0.000166667,0.000712271,0.0100982,0.000503652
1,b(E) corr, scratch,eta,7,0.00121429,0.00167471,0.00443087,0.0011842
1,b(E) corr, scratch,eta,9,0.0045,0.00424264,0.006,0.003
1,b(E) corr, scratch,eta,11,-0.0045,0,0,0
