series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,-0.000615309,4.9517e-05,0.00402796,3.50138e-05
0,no corr, scratch,phi,5,-0.000708955,0.000284463,0.00403296,0.000201146
0,no corr, scratch,phi,7,0.000928571,0.00122653,0.00324509,0.000867287
0,no corr, scratch,phi,9,-0.001,0.000353553,0.0005,0.00025
0,no corr, scratch,phi,11,-0.0055,0,0,0
1,b(E) corr, scratch,phi,3,-0.000522971,4.17131e-05,0.00339315,2.94956e-05
1,b(E) corr, scratch,phi,5,-0.000644279,0.000212992,0.00301968,0.000150608
1,b(E) corr, scratch,phi,7,-0.0005,0.000857143,0.00226779,0.000606092
1,b(E) corr, scratch,phi,9,0.0015,1.01802e-11,1.4397e-11,7.19848e-12
1,b(E) corr, scratch,phi,11,-0.0025,0,0,0
