KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,49269,-0.00011558,0.00416389,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,49269,1.71448e-05,0.00424293,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,49269,-0.000126689,0.0035894,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,49269,-9.6936e-06,0.00383325,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,49269,-0.000198731,0.00422745,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,49269,-0.000118985,0.00371396,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_vzDep,,0,2,4,49269,-0.000115305,0.00357799,NAME,h_phi_diff_cpCorrEA_geom_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,49269,-0.000115231,0.00357309,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,49269,-0.000114287,0.00357726,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_mixed,,0,2,4,49269,-0.000113223,0.0035715,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,49269,-0.000157772,0.00367068,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,49269,1.57337e-05,0.00427268,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,49269,-3.23668e-05,0.00410633,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_vzDep,,0,2,4,49269,-2.12581e-05,0.00389293,NAME,h_eta_diff_cpCorrEA_geom_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,49269,-1.97674e-05,0.00388073,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
eta,CLUSCP_EA,,0,2,4,49269,-2.12956e-05,0.00389204,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_2_4
eta,CLUSCP_EA_mixed,,0,2,4,49269,-1.8966e-05,0.00387429,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_2_4
eta,CLUScpDirectBvals,,0,2,4,49269,-1.92979e-05,0.00385722,NAME,h_eta_diff_cpBcorr_2_4
phi,PDCraw,0_60vz,0,2,4,271250,2.7961e-05,0.00427045,XAXIS,h_phi_diff_raw_2_4_0_60vz
phi,PDCcor,0_60vz,0,2,4,271250,1.66809e-05,0.0037035,XAXIS,h_phi_diff_corr_2_4_0_60vz
