variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,1.57337e-05,1.92492e-05,0.00427268,1.36113e-05
CLUSRAW,5,9.23823e-06,1.80377e-05,0.00409293,1.27546e-05
CLUSRAW,7,-1.26625e-05,1.69504e-05,0.00400454,1.19858e-05
CLUSRAW,9,-2.76469e-05,1.65286e-05,0.00399073,1.16875e-05
CLUSRAW,11,-4.47273e-05,1.62593e-05,0.00394946,1.1497e-05
CLUSRAW,13.5,-1.06449e-06,1.31775e-05,0.00392166,9.31792e-06
CLUSRAW,17.5,-1.16423e-05,1.0066e-05,0.00387518,7.1177e-06
CLUSRAW,25,-3.42875e-05,6.83174e-06,0.00374129,4.83077e-06
CLUSCP,3,-3.23668e-05,1.84998e-05,0.00410633,1.30813e-05
CLUSCP,5,-2.33133e-05,1.62956e-05,0.00369762,1.15227e-05
CLUSCP,7,-3.34845e-05,1.47883e-05,0.00349373,1.04569e-05
CLUSCP,9,-5.83876e-05,1.40925e-05,0.00340254,9.96488e-06
CLUSCP,11,-3.80371e-05,1.36528e-05,0.00331635,9.65402e-06
CLUSCP,13.5,-3.17592e-05,1.09754e-05,0.0032663,7.76077e-06
CLUSCP,17.5,-1.83169e-05,8.31748e-06,0.00320206,5.88134e-06
CLUSCP,25,-3.58752e-05,5.5025e-06,0.00301336,3.89086e-06
CLUSCP_EA,3,-2.12956e-05,1.75344e-05,0.00389204,1.23987e-05
CLUSCP_EA,5,-1.43929e-05,1.55544e-05,0.00352944,1.09986e-05
CLUSCP_EA,7,-2.846e-05,1.419e-05,0.00335239,1.00339e-05
CLUSCP_EA,9,-5.02305e-05,1.35876e-05,0.00328063,9.60787e-06
CLUSCP_EA,11,-3.86457e-05,1.31913e-05,0.00320425,9.32769e-06
CLUSCP_EA,13.5,-2.30721e-05,1.06109e-05,0.00315781,7.50301e-06
CLUSCP_EA,17.5,-1.66336e-05,8.04209e-06,0.00309604,5.68661e-06
CLUSCP_EA,25,-3.50157e-05,5.31802e-06,0.00291233,3.76041e-06
CLUSCP_EA_vzDep,3,-2.12581e-05,1.75384e-05,0.00389293,1.24015e-05
CLUSCP_EA_vzDep,5,-1.46209e-05,1.55567e-05,0.00352997,1.10003e-05
CLUSCP_EA_vzDep,7,-2.8486e-05,1.4191e-05,0.00335263,1.00346e-05
CLUSCP_EA_vzDep,9,-5.02404e-05,1.35884e-05,0.00328083,9.60844e-06
CLUSCP_EA_vzDep,11,-3.88503e-05,1.31923e-05,0.00320449,9.3284e-06
CLUSCP_EA_vzDep,13.5,-2.30851e-05,1.06113e-05,0.00315795,7.50334e-06
CLUSCP_EA_vzDep,17.5,-1.6716e-05,8.04215e-06,0.00309606,5.68666e-06
CLUSCP_EA_vzDep,25,-3.50127e-05,5.31807e-06,0.00291235,3.76044e-06
CLUSCP_EA_etaDep,3,-1.97674e-05,1.74834e-05,0.00388073,1.23627e-05
CLUSCP_EA_etaDep,5,-1.42858e-05,1.55005e-05,0.0035172,1.09605e-05
