variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,-0.000198731,1.90455e-05,0.00422745,1.34672e-05
CLUSRAW,5,-7.18518e-05,1.81907e-05,0.00412764,1.28628e-05
CLUSRAW,7,-7.39209e-05,1.71297e-05,0.00404689,1.21125e-05
CLUSRAW,9,-0.00010845,1.71113e-05,0.00413141,1.20995e-05
CLUSRAW,11,-7.36223e-05,1.74875e-05,0.00424782,1.23656e-05
CLUSRAW,13.5,-3.46008e-05,1.46097e-05,0.00434786,1.03306e-05
CLUSRAW,17.5,4.10946e-05,1.12738e-05,0.00434018,7.97178e-06
CLUSRAW,25,-3.92839e-05,7.34773e-06,0.00402386,5.19563e-06
CLUSCP,3,-0.000118985,1.67321e-05,0.00371396,1.18314e-05
CLUSCP,5,1.63942e-05,1.45905e-05,0.00331072,1.0317e-05
CLUSCP,7,8.48438e-06,1.3269e-05,0.00313479,9.38257e-06
CLUSCP,9,-1.17776e-05,1.33457e-05,0.00322224,9.43684e-06
CLUSCP,11,6.9968e-06,1.38766e-05,0.00337069,9.8122e-06
CLUSCP,13.5,6.9366e-05,1.18314e-05,0.00352105,8.36607e-06
CLUSCP,17.5,0.000116726,8.90541e-06,0.0034284,6.29708e-06
CLUSCP,25,2.17624e-05,5.37765e-06,0.00294498,3.80257e-06
CLUSCP_EA,3,-0.000114287,1.61162e-05,0.00357726,1.13959e-05
CLUSCP_EA,5,1.98283e-05,1.42246e-05,0.0032277,1.00583e-05
CLUSCP_EA,7,4.6695e-06,1.3004e-05,0.00307219,9.19522e-06
CLUSCP_EA,9,-1.82477e-05,1.31486e-05,0.00317464,9.29746e-06
CLUSCP_EA,11,-3.86625e-06,1.37333e-05,0.00333589,9.71091e-06
CLUSCP_EA,13.5,6.09552e-05,1.17435e-05,0.0034949,8.30393e-06
CLUSCP_EA,17.5,0.000114643,8.87656e-06,0.00341729,6.27667e-06
CLUSCP_EA,25,1.38455e-05,5.34782e-06,0.00292865,3.78148e-06
CLUSCP_EA_vzDep,3,-0.000115305,1.61195e-05,0.00357799,1.13982e-05
CLUSCP_EA_vzDep,5,1.94041e-05,1.42256e-05,0.00322794,1.0059e-05
CLUSCP_EA_vzDep,7,4.40256e-06,1.30035e-05,0.00307207,9.19483e-06
CLUSCP_EA_vzDep,9,-1.86747e-05,1.31486e-05,0.00317464,9.29744e-06
CLUSCP_EA_vzDep,11,-2.14452e-06,1.3733e-05,0.00333582,9.7107e-06
CLUSCP_EA_vzDep,13.5,6.0762e-05,1.17437e-05,0.00349496,8.30407e-06
CLUSCP_EA_vzDep,17.5,0.000115301,8.87654e-06,0.00341728,6.27666e-06
CLUSCP_EA_vzDep,25,1.42268e-05,5.34787e-06,0.00292868,3.78151e-06
CLUSCP_EA_etaDep,3,-0.000115231,1.60974e-05,0.00357309,1.13826e-05
CLUSCP_EA_etaDep,5,1.86761e-05,1.42079e-05,0.00322391,1.00465e-05
CLUSCP_EA_etaDep,7,3.80336e-06,1.2988e-05,0.00306842,9.18392e-06
CLUSCP_EA_etaDep,9,-1.84881e-05,1.31336e-05,0.00317102,9.28684e-06
CLUSCP_EA_etaDep,11,-4.37377e-06,1.37202e-05,0.00333271,9.70164e-06
CLUSCP_EA_etaDep,13.5,6.25826e-05,1.17338e-05,0.00349201,8.29706e-06
CLUSCP_EA_etaDep,17.5,0.000114979,8.86882e-06,0.00341431,6.2712e-06
CLUSCP_EA_etaDep,25,1.30703e-05,5.3394e-06,0.00292404,3.77553e-06
PDCraw,3,-0.00011558,1.87591e-05,0.00416389,1.32647e-05
PDCraw,5,-1.64714e-05,1.77435e-05,0.00402613,1.25465e-05
PDCraw,7,-4.75802e-05,1.67533e-05,0.00395796,1.18464e-05
PDCraw,9,-7.15556e-05,1.67449e-05,0.00404295,1.18404e-05
PDCraw,11,-4.41653e-05,1.71112e-05,0.00415641,1.20995e-05
PDCraw,13.5,-1.92918e-05,1.42484e-05,0.00424034,1.00751e-05
PDCraw,17.5,3.1504e-05,1.09594e-05,0.00421914,7.74947e-06
PDCraw,25,-3.8875e-05,7.16258e-06,0.00392247,5.06471e-06
PDCcor,3,-0.000126689,1.61709e-05,0.0035894,1.14346e-05
PDCcor,5,2.15111e-05,1.41879e-05,0.00321936,1.00323e-05
PDCcor,7,4.86339e-06,1.29865e-05,0.00306805,9.18283e-06
PDCcor,9,-2.33739e-05,1.31955e-05,0.00318597,9.33063e-06
PDCcor,11,-1.42863e-05,1.37804e-05,0.00334734,9.74424e-06
PDCcor,13.5,3.97791e-05,1.17035e-05,0.00348297,8.27559e-06
PDCcor,17.5,8.82292e-05,8.82281e-06,0.0033966,6.23867e-06
PDCcor,25,-2.37253e-07,5.32893e-06,0.0029183,3.76812e-06
CLUScpDirectBvals,3,-0.000157772,1.65371e-05,0.00367068,1.16935e-05
CLUScpDirectBvals,5,1.19881e-05,1.4786e-05,0.0033551,1.04553e-05
CLUScpDirectBvals,7,7.08688e-06,1.35655e-05,0.00320485,9.59227e-06
CLUScpDirectBvals,9,-2.34566e-05,1.36398e-05,0.00329324,9.64478e-06
CLUScpDirectBvals,11,-1.12865e-06,1.42589e-05,0.00346355,1.00825e-05
CLUScpDirectBvals,13.5,6.34868e-05,1.21229e-05,0.00360781,8.5722e-06
CLUScpDirectBvals,17.5,0.000110446,9.19698e-06,0.00354065,6.50324e-06
CLUScpDirectBvals,25,3.17748e-06,5.59606e-06,0.00306459,3.95701e-06
CLUSCP_EA_mixed,3,-0.000113223,1.60903e-05,0.0035715,1.13775e-05
CLUSCP_EA_mixed,5,2.04785e-05,1.42156e-05,0.00322565,1.00519e-05
CLUSCP_EA_mixed,7,4.81023e-06,1.29974e-05,0.00307064,9.19058e-06
CLUSCP_EA_mixed,9,-1.83038e-05,1.31446e-05,0.00317368,9.29464e-06
CLUSCP_EA_mixed,11,-3.5029e-06,1.37286e-05,0.00333475,9.70758e-06
CLUSCP_EA_mixed,13.5,6.12741e-05,1.17398e-05,0.00349379,8.30129e-06
CLUSCP_EA_mixed,17.5,0.000115033,8.87372e-06,0.0034162,6.27467e-06
CLUSCP_EA_mixed,25,1.46609e-05,5.34474e-06,0.00292696,3.7793e-06
