series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,1.43193e-05,1.93006e-05,0.00428409,1.36476e-05
0,Constant-b (Production) Uncorr,eta,5,9.47794e-06,1.80788e-05,0.00410225,1.27836e-05
0,Constant-b (Production) Uncorr,eta,7,-1.32942e-05,1.69983e-05,0.00401584,1.20196e-05
0,Constant-b (Production) Uncorr,eta,9,-2.71464e-05,1.65737e-05,0.00400161,1.17194e-05
0,Constant-b (Production) Uncorr,eta,11,-4.4074e-05,1.63024e-05,0.00395994,1.15275e-05
0,Constant-b (Production) Uncorr,eta,13.5,-1.16861e-06,1.32065e-05,0.00393028,9.33841e-06
0,Constant-b (Production) Uncorr,eta,17.5,-1.21484e-05,1.0093e-05,0.0038856,7.13684e-06
0,Constant-b (Production) Uncorr,eta,25,-3.39526e-05,6.85254e-06,0.00375268,4.84547e-06
1,(Production) CP(EA E-only),eta,3,-2.20321e-05,1.75995e-05,0.0039065,1.24447e-05
1,(Production) CP(EA E-only),eta,5,-1.56347e-05,1.56128e-05,0.00354269,1.10399e-05
1,(Production) CP(EA E-only),eta,7,-2.79141e-05,1.42449e-05,0.00336537,1.00727e-05
1,(Production) CP(EA E-only),eta,9,-4.83318e-05,1.36335e-05,0.00329173,9.64036e-06
1,(Production) CP(EA E-only),eta,11,-3.82269e-05,1.32389e-05,0.00321581,9.36134e-06
1,(Production) CP(EA E-only),eta,13.5,-2.21132e-05,1.06523e-05,0.00317013,7.53228e-06
1,(Production) CP(EA E-only),eta,17.5,-1.68377e-05,8.07799e-06,0.00310986,5.712e-06
1,(Production) CP(EA E-only),eta,25,-3.56499e-05,5.34491e-06,0.00292706,3.77942e-06
