series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.000212487,1.85297e-05,0.00430359,1.31025e-05
0,Constant-b (Production) Uncorr,phi,5,-7.45666e-05,1.76612e-05,0.00417754,1.24884e-05
0,Constant-b (Production) Uncorr,phi,7,-7.11744e-05,1.67255e-05,0.00410195,1.18267e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000110635,1.67456e-05,0.00417922,1.18409e-05
0,Constant-b (Production) Uncorr,phi,11,-8.56099e-05,1.7194e-05,0.00430046,1.2158e-05
0,Constant-b (Production) Uncorr,phi,13.5,-4.81358e-05,1.44711e-05,0.00441796,1.02326e-05
0,Constant-b (Production) Uncorr,phi,17.5,4.84575e-05,1.11948e-05,0.00440564,7.91588e-06
0,Constant-b (Production) Uncorr,phi,25,-3.66591e-05,7.29903e-06,0.004081,5.1612e-06
1,(Production) CP(EA E-only),phi,3,-0.000129139,1.59836e-05,0.00371226,1.13021e-05
1,(Production) CP(EA E-only),phi,5,1.32261e-05,1.41105e-05,0.00333766,9.97761e-06
1,(Production) CP(EA E-only),phi,7,1.07901e-05,1.29151e-05,0.00316743,9.13233e-06
1,(Production) CP(EA E-only),phi,9,-2.47568e-05,1.30473e-05,0.00325625,9.22586e-06
1,(Production) CP(EA E-only),phi,11,-1.71444e-05,1.36829e-05,0.00342228,9.67527e-06
1,(Production) CP(EA E-only),phi,13.5,5.37686e-05,1.17601e-05,0.00359031,8.31567e-06
1,(Production) CP(EA E-only),phi,17.5,0.000120566,8.89885e-06,0.0035021,6.29244e-06
1,(Production) CP(EA E-only),phi,25,1.85183e-05,5.37875e-06,0.00300734,3.80335e-06
