series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.000200359,1.90913e-05,0.00423763,1.34996e-05
0,Constant-b (Production) Uncorr,phi,5,-7.08126e-05,1.82338e-05,0.00413743,1.28933e-05
0,Constant-b (Production) Uncorr,phi,7,-7.3942e-05,1.71863e-05,0.00406027,1.21526e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000110052,1.71581e-05,0.00414272,1.21326e-05
0,Constant-b (Production) Uncorr,phi,11,-7.43098e-05,1.75279e-05,0.00425763,1.23941e-05
0,Constant-b (Production) Uncorr,phi,13.5,-3.55945e-05,1.46381e-05,0.00435632,1.03507e-05
0,Constant-b (Production) Uncorr,phi,17.5,4.1175e-05,1.12985e-05,0.00434968,7.98923e-06
0,Constant-b (Production) Uncorr,phi,25,-3.86608e-05,7.36727e-06,0.00403457,5.20944e-06
1,(Production) CP(EA |#eta|+E),phi,3,-0.000115011,1.61546e-05,0.00358578,1.14231e-05
1,(Production) CP(EA |#eta|+E),phi,5,1.84121e-05,1.42692e-05,0.00323781,1.00898e-05
1,(Production) CP(EA |#eta|+E),phi,7,2.31125e-06,1.3046e-05,0.00308211,9.22491e-06
1,(Production) CP(EA |#eta|+E),phi,9,-2.03877e-05,1.31922e-05,0.00318517,9.32828e-06
1,(Production) CP(EA |#eta|+E),phi,11,-2.82189e-06,1.37762e-05,0.0033463,9.74122e-06
1,(Production) CP(EA |#eta|+E),phi,13.5,6.14619e-05,1.17766e-05,0.00350473,8.3273e-06
1,(Production) CP(EA |#eta|+E),phi,17.5,0.000114288,8.90324e-06,0.00342756,6.29554e-06
1,(Production) CP(EA |#eta|+E),phi,25,1.32293e-05,5.36702e-06,0.00293916,3.79505e-06
