series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,2.12636e-05,1.8703e-05,0.00434385,1.3225e-05
0,Constant-b (Production) Uncorr,eta,5,1.74978e-05,1.74847e-05,0.00413578,1.23635e-05
0,Constant-b (Production) Uncorr,eta,7,-9.50988e-06,1.65153e-05,0.00405039,1.16781e-05
0,Constant-b (Production) Uncorr,eta,9,-1.6649e-05,1.61519e-05,0.00403106,1.14211e-05
0,Constant-b (Production) Uncorr,eta,11,-3.38491e-05,1.59589e-05,0.00399154,1.12846e-05
0,Constant-b (Production) Uncorr,eta,13.5,3.44939e-06,1.29982e-05,0.00396828,9.19111e-06
0,Constant-b (Production) Uncorr,eta,17.5,-9.59465e-06,9.97753e-06,0.00392661,7.05518e-06
0,Constant-b (Production) Uncorr,eta,25,-2.48712e-05,6.78204e-06,0.00379194,4.79562e-06
1,(Production) CP(EA geom),eta,3,-1.07523e-05,1.83173e-05,0.00425428,1.29523e-05
1,(Production) CP(EA geom),eta,5,-2.50223e-07,1.60856e-05,0.00380484,1.13742e-05
1,(Production) CP(EA geom),eta,7,-2.29102e-05,1.46065e-05,0.00358225,1.03283e-05
1,(Production) CP(EA geom),eta,9,-3.67819e-05,1.40144e-05,0.00349759,9.90967e-06
1,(Production) CP(EA geom),eta,11,-2.23556e-05,1.36153e-05,0.00340539,9.6275e-06
1,(Production) CP(EA geom),eta,13.5,-1.94357e-05,1.10197e-05,0.00336426,7.79212e-06
1,(Production) CP(EA geom),eta,17.5,-1.31717e-05,8.3932e-06,0.0033031,5.93489e-06
1,(Production) CP(EA geom),eta,25,-2.35629e-05,5.54876e-06,0.0031024,3.92357e-06
