series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,2.12636e-05,1.8703e-05,0.00434385,1.3225e-05
0,Constant-b (Production) Uncorr,eta,5,1.74978e-05,1.74847e-05,0.00413578,1.23635e-05
0,Constant-b (Production) Uncorr,eta,7,-9.50988e-06,1.65153e-05,0.00405039,1.16781e-05
0,Constant-b (Production) Uncorr,eta,9,-1.6649e-05,1.61519e-05,0.00403106,1.14211e-05
0,Constant-b (Production) Uncorr,eta,11,-3.38491e-05,1.59589e-05,0.00399154,1.12846e-05
0,Constant-b (Production) Uncorr,eta,13.5,3.44939e-06,1.29982e-05,0.00396828,9.19111e-06
0,Constant-b (Production) Uncorr,eta,17.5,-9.59465e-06,9.97753e-06,0.00392661,7.05518e-06
0,Constant-b (Production) Uncorr,eta,25,-2.48712e-05,6.78204e-06,0.00379194,4.79562e-06
1,Constant-b (Production) Corr,eta,3,-1.11601e-05,1.83071e-05,0.00425189,1.2945e-05
1,Constant-b (Production) Corr,eta,5,4.82574e-07,1.60821e-05,0.00380403,1.13718e-05
1,Constant-b (Production) Corr,eta,7,-2.41405e-05,1.46079e-05,0.00358259,1.03293e-05
1,Constant-b (Production) Corr,eta,9,-3.68783e-05,1.40124e-05,0.00349711,9.90829e-06
1,Constant-b (Production) Corr,eta,11,-2.21798e-05,1.36146e-05,0.00340519,9.62696e-06
1,Constant-b (Production) Corr,eta,13.5,-1.99614e-05,1.10188e-05,0.00336399,7.79149e-06
1,Constant-b (Production) Corr,eta,17.5,-1.05632e-05,8.39007e-06,0.00330187,5.93268e-06
1,Constant-b (Production) Corr,eta,25,-2.34318e-05,5.56853e-06,0.00311345,3.93754e-06
