series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.000200359,1.90913e-05,0.00423763,1.34996e-05
0,Constant-b (Production) Uncorr,phi,5,-7.08126e-05,1.82338e-05,0.00413743,1.28933e-05
0,Constant-b (Production) Uncorr,phi,7,-7.3942e-05,1.71863e-05,0.00406027,1.21526e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000110052,1.71581e-05,0.00414272,1.21326e-05
0,Constant-b (Production) Uncorr,phi,11,-7.43098e-05,1.75279e-05,0.00425763,1.23941e-05
0,Constant-b (Production) Uncorr,phi,13.5,-3.55945e-05,1.46381e-05,0.00435632,1.03507e-05
0,Constant-b (Production) Uncorr,phi,17.5,4.1175e-05,1.12985e-05,0.00434968,7.98923e-06
0,Constant-b (Production) Uncorr,phi,25,-3.86608e-05,7.36727e-06,0.00403457,5.20944e-06
1,Constant-b (Production) Corr,phi,3,-0.000120268,1.68002e-05,0.00372908,1.18795e-05
1,Constant-b (Production) Corr,phi,5,1.86645e-05,1.46452e-05,0.00332314,1.03557e-05
1,Constant-b (Production) Corr,phi,7,7.23833e-06,1.33382e-05,0.00315115,9.43154e-06
1,Constant-b (Production) Corr,phi,9,-1.19822e-05,1.34033e-05,0.00323615,9.47759e-06
1,Constant-b (Production) Corr,phi,11,5.51667e-06,1.39338e-05,0.0033846,9.85271e-06
1,Constant-b (Production) Corr,phi,13.5,6.78865e-05,1.18745e-05,0.00353388,8.39655e-06
1,Constant-b (Production) Corr,phi,17.5,0.000117682,8.94005e-06,0.00344173,6.32157e-06
1,Constant-b (Production) Corr,phi,25,2.22422e-05,5.40363e-06,0.00295921,3.82094e-06
