series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.000212487,1.85297e-05,0.00430359,1.31025e-05
0,no corr, cluster,phi,5,-7.45666e-05,1.76612e-05,0.00417754,1.24884e-05
0,no corr, cluster,phi,7,-7.11744e-05,1.67255e-05,0.00410195,1.18267e-05
0,no corr, cluster,phi,9,-0.000110635,1.67456e-05,0.00417922,1.18409e-05
0,no corr, cluster,phi,11,-8.56099e-05,1.7194e-05,0.00430046,1.2158e-05
0,no corr, cluster,phi,13.5,-4.81358e-05,1.44711e-05,0.00441796,1.02326e-05
0,no corr, cluster,phi,17.5,4.84575e-05,1.11948e-05,0.00440564,7.91588e-06
0,no corr, cluster,phi,25,-3.66591e-05,7.29903e-06,0.004081,5.1612e-06
1,CorrectPosition, cluster,phi,3,-0.000126877,1.66135e-05,0.00385855,1.17475e-05
1,CorrectPosition, cluster,phi,5,1.32082e-05,1.45002e-05,0.00342984,1.02532e-05
1,CorrectPosition, cluster,phi,7,1.30511e-05,1.32076e-05,0.00323918,9.3392e-06
1,CorrectPosition, cluster,phi,9,-1.47385e-05,1.32601e-05,0.00330934,9.37628e-06
1,CorrectPosition, cluster,phi,11,-7.58508e-06,1.38457e-05,0.00346301,9.7904e-06
1,CorrectPosition, cluster,phi,13.5,6.00236e-05,1.18524e-05,0.00361849,8.38094e-06
1,CorrectPosition, cluster,phi,17.5,0.000121735,8.92908e-06,0.003514,6.31381e-06
1,CorrectPosition, cluster,phi,25,2.49192e-05,5.40768e-06,0.00302352,3.82381e-06
2,no corr, cluster,eta,3,2.12636e-05,1.8703e-05,0.00434385,1.3225e-05
2,no corr, cluster,eta,5,1.74978e-05,1.74847e-05,0.00413578,1.23635e-05
2,no corr, cluster,eta,7,-9.50988e-06,1.65153e-05,0.00405039,1.16781e-05
2,no corr, cluster,eta,9,-1.6649e-05,1.61519e-05,0.00403106,1.14211e-05
2,no corr, cluster,eta,11,-3.38491e-05,1.59589e-05,0.00399154,1.12846e-05
2,no corr, cluster,eta,13.5,3.44939e-06,1.29982e-05,0.00396828,9.19111e-06
2,no corr, cluster,eta,17.5,-9.59465e-06,9.97753e-06,0.00392661,7.05518e-06
2,no corr, cluster,eta,25,-2.48712e-05,6.78204e-06,0.00379194,4.79562e-06
3,CorrectPosition, cluster,eta,3,-1.11601e-05,1.83071e-05,0.00425189,1.2945e-05
3,CorrectPosition, cluster,eta,5,4.82574e-07,1.60821e-05,0.00380403,1.13718e-05
3,CorrectPosition, cluster,eta,7,-2.41405e-05,1.46079e-05,0.00358259,1.03293e-05
3,CorrectPosition, cluster,eta,9,-3.68783e-05,1.40124e-05,0.00349711,9.90829e-06
3,CorrectPosition, cluster,eta,11,-2.21798e-05,1.36146e-05,0.00340519,9.62696e-06
3,CorrectPosition, cluster,eta,13.5,-1.99614e-05,1.10188e-05,0.00336399,7.79149e-06
3,CorrectPosition, cluster,eta,17.5,-1.05632e-05,8.39007e-06,0.00330187,5.93268e-06
3,CorrectPosition, cluster,eta,25,-2.34318e-05,5.56853e-06,0.00311345,3.93754e-06
