series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,eta,3,1.43193e-05,1.93006e-05,0.00428409,1.36476e-05
0,no corr, cluster,eta,5,9.47794e-06,1.80788e-05,0.00410225,1.27836e-05
0,no corr, cluster,eta,7,-1.32942e-05,1.69983e-05,0.00401584,1.20196e-05
0,no corr, cluster,eta,9,-2.71464e-05,1.65737e-05,0.00400161,1.17194e-05
0,no corr, cluster,eta,11,-4.4074e-05,1.63024e-05,0.00395994,1.15275e-05
0,no corr, cluster,eta,13.5,-1.16861e-06,1.32065e-05,0.00393028,9.33841e-06
0,no corr, cluster,eta,17.5,-1.21484e-05,1.0093e-05,0.0038856,7.13684e-06
0,no corr, cluster,eta,25,-3.39526e-05,6.85254e-06,0.00375268,4.84547e-06
1,CorrectPosition, cluster,eta,3,-3.07191e-05,1.8552e-05,0.00411793,1.31183e-05
1,CorrectPosition, cluster,eta,5,-2.11117e-05,1.63408e-05,0.00370788,1.15547e-05
1,CorrectPosition, cluster,eta,7,-3.32712e-05,1.48333e-05,0.00350435,1.04887e-05
1,CorrectPosition, cluster,eta,9,-5.58624e-05,1.41388e-05,0.00341372,9.99765e-06
1,CorrectPosition, cluster,eta,11,-3.73964e-05,1.36999e-05,0.00332778,9.6873e-06
1,CorrectPosition, cluster,eta,13.5,-3.17669e-05,1.10153e-05,0.00327818,7.789e-06
1,CorrectPosition, cluster,eta,17.5,-1.83693e-05,8.35238e-06,0.00321549,5.90603e-06
1,CorrectPosition, cluster,eta,25,-3.55698e-05,5.52788e-06,0.00302725,3.9088e-06
