series,variant,residual,E,mu,dmu,sigma,dsigma
0,PDC raw,phi,3,-0.000114484,1.8809e-05,0.00417495,1.32999e-05
0,PDC raw,phi,5,-1.72568e-05,1.77934e-05,0.00403746,1.25819e-05
0,PDC raw,phi,7,-4.74433e-05,1.68027e-05,0.00396964,1.18813e-05
0,PDC raw,phi,9,-7.02204e-05,1.67866e-05,0.00405302,1.18699e-05
0,PDC raw,phi,11,-4.36503e-05,1.7155e-05,0.00416704,1.21304e-05
0,PDC raw,phi,13.5,-1.82291e-05,1.42885e-05,0.0042523,1.01035e-05
0,PDC raw,phi,17.5,3.26532e-05,1.09866e-05,0.00422962,7.76871e-06
0,PDC raw,phi,25,-3.86575e-05,7.1813e-06,0.00393272,5.07795e-06
1,PDC corrected,phi,3,-0.000126439,1.62158e-05,0.00359935,1.14663e-05
1,PDC corrected,phi,5,2.20051e-05,1.42372e-05,0.00323055,1.00672e-05
1,PDC corrected,phi,7,5.41083e-06,1.30502e-05,0.0030831,9.22786e-06
1,PDC corrected,phi,9,-2.19316e-05,1.32521e-05,0.00319964,9.37066e-06
1,PDC corrected,phi,11,-1.24146e-05,1.38339e-05,0.00336033,9.78205e-06
1,PDC corrected,phi,13.5,3.99754e-05,1.17466e-05,0.0034958,8.30607e-06
1,PDC corrected,phi,17.5,8.81019e-05,8.86036e-06,0.00341106,6.26522e-06
1,PDC corrected,phi,25,-5.2517e-07,5.35505e-06,0.00293261,3.78659e-06
2,no corr, cluster,phi,3,-0.000200359,1.90913e-05,0.00423763,1.34996e-05
2,no corr, cluster,phi,5,-7.08126e-05,1.82338e-05,0.00413743,1.28933e-05
2,no corr, cluster,phi,7,-7.3942e-05,1.71863e-05,0.00406027,1.21526e-05
2,no corr, cluster,phi,9,-0.000110052,1.71581e-05,0.00414272,1.21326e-05
2,no corr, cluster,phi,11,-7.43098e-05,1.75279e-05,0.00425763,1.23941e-05
2,no corr, cluster,phi,13.5,-3.55945e-05,1.46381e-05,0.00435632,1.03507e-05
2,no corr, cluster,phi,17.5,4.1175e-05,1.12985e-05,0.00434968,7.98923e-06
2,no corr, cluster,phi,25,-3.86608e-05,7.36727e-06,0.00403457,5.20944e-06
3,CorrectPosition, cluster,phi,3,-0.000120268,1.68002e-05,0.00372908,1.18795e-05
3,CorrectPosition, cluster,phi,5,1.86645e-05,1.46452e-05,0.00332314,1.03557e-05
3,CorrectPosition, cluster,phi,7,7.23833e-06,1.33382e-05,0.00315115,9.43154e-06
3,CorrectPosition, cluster,phi,9,-1.19822e-05,1.34033e-05,0.00323615,9.47759e-06
3,CorrectPosition, cluster,phi,11,5.51667e-06,1.39338e-05,0.0033846,9.85271e-06
3,CorrectPosition, cluster,phi,13.5,6.78865e-05,1.18745e-05,0.00353388,8.39655e-06
3,CorrectPosition, cluster,phi,17.5,0.000117682,8.94005e-06,0.00344173,6.32157e-06
3,CorrectPosition, cluster,phi,25,2.22422e-05,5.40363e-06,0.00295921,3.82094e-06
4,b(E) corr, cluster,phi,3,-0.000160212,1.65966e-05,0.00368388,1.17355e-05
