series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.00177068,1.8714e-05,0.0043489,1.32328e-05
0,no corr, cluster,phi,5,-0.00134113,1.77287e-05,0.00419043,1.25361e-05
0,no corr, cluster,phi,7,-0.00111572,1.68331e-05,0.00412665,1.19028e-05
0,no corr, cluster,phi,9,-0.000899477,1.68151e-05,0.00420004,1.18901e-05
0,no corr, cluster,phi,11,-0.000672888,1.7246e-05,0.00431897,1.21948e-05
0,no corr, cluster,phi,13.5,-0.000465743,1.44962e-05,0.00442982,1.02504e-05
0,no corr, cluster,phi,17.5,-0.000186711,1.1196e-05,0.00440932,7.91675e-06
0,no corr, cluster,phi,25,-3.04146e-05,7.29345e-06,0.00408079,5.15725e-06
1,CorrectPosition, cluster,phi,3,-0.00112497,1.66837e-05,0.00387709,1.17972e-05
1,CorrectPosition, cluster,phi,5,-0.000675968,1.44921e-05,0.00342542,1.02475e-05
1,CorrectPosition, cluster,phi,7,-0.000455141,1.32023e-05,0.00323656,9.33545e-06
1,CorrectPosition, cluster,phi,9,-0.000247183,1.33064e-05,0.00332365,9.40907e-06
1,CorrectPosition, cluster,phi,11,-5.59099e-05,1.38879e-05,0.00347799,9.82021e-06
1,CorrectPosition, cluster,phi,13.5,0.00016637,1.18735e-05,0.00362836,8.39584e-06
1,CorrectPosition, cluster,phi,17.5,0.000396991,8.93732e-06,0.00351979,6.31964e-06
1,CorrectPosition, cluster,phi,25,0.000597596,5.40007e-06,0.00302142,3.81843e-06
2,CorrectPosition(EA), cluster,phi,3,-0.00131849,1.64741e-05,0.00382837,1.16489e-05
2,CorrectPosition(EA), cluster,phi,5,-0.000854657,1.46383e-05,0.00345998,1.03509e-05
2,CorrectPosition(EA), cluster,phi,7,-0.000622298,1.35028e-05,0.00331022,9.54791e-06
2,CorrectPosition(EA), cluster,phi,9,-0.000406714,1.35854e-05,0.00339333,9.60633e-06
2,CorrectPosition(EA), cluster,phi,11,-0.000193353,1.42479e-05,0.00356814,1.00748e-05
2,CorrectPosition(EA), cluster,phi,13.5,4.31989e-05,1.21746e-05,0.00372038,8.60876e-06
2,CorrectPosition(EA), cluster,phi,17.5,0.000282467,9.22777e-06,0.00363418,6.52502e-06
2,CorrectPosition(EA), cluster,phi,25,0.000461863,5.61952e-06,0.00314421,3.9736e-06
