series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,-0.000114484,1.8809e-05,0.00417495,1.32999e-05
0,no corr, scratch,phi,5,-1.72568e-05,1.77934e-05,0.00403746,1.25819e-05
0,no corr, scratch,phi,7,-4.74433e-05,1.68027e-05,0.00396964,1.18813e-05
0,no corr, scratch,phi,9,-7.02204e-05,1.67866e-05,0.00405302,1.18699e-05
0,no corr, scratch,phi,11,-4.36503e-05,1.7155e-05,0.00416704,1.21304e-05
0,no corr, scratch,phi,13.5,-1.82291e-05,1.42885e-05,0.0042523,1.01035e-05
0,no corr, scratch,phi,17.5,3.26532e-05,1.09866e-05,0.00422962,7.76871e-06
0,no corr, scratch,phi,25,-3.86575e-05,7.1813e-06,0.00393272,5.07795e-06
1,no corr, cluster,phi,3,-0.000200359,1.90913e-05,0.00423763,1.34996e-05
1,no corr, cluster,phi,5,-7.08126e-05,1.82338e-05,0.00413743,1.28933e-05
1,no corr, cluster,phi,7,-7.3942e-05,1.71863e-05,0.00406027,1.21526e-05
1,no corr, cluster,phi,9,-0.000110052,1.71581e-05,0.00414272,1.21326e-05
1,no corr, cluster,phi,11,-7.43098e-05,1.75279e-05,0.00425763,1.23941e-05
1,no corr, cluster,phi,13.5,-3.55945e-05,1.46381e-05,0.00435632,1.03507e-05
1,no corr, cluster,phi,17.5,4.1175e-05,1.12985e-05,0.00434968,7.98923e-06
1,no corr, cluster,phi,25,-3.86608e-05,7.36727e-06,0.00403457,5.20944e-06
2,no corr, scratch,eta,3,1.6755e-05,1.91555e-05,0.00425187,1.3545e-05
2,no corr, scratch,eta,5,7.32209e-06,1.79096e-05,0.00406386,1.2664e-05
2,no corr, scratch,eta,7,-5.87666e-06,1.68444e-05,0.00397949,1.19108e-05
2,no corr, scratch,eta,9,-2.2429e-05,1.63275e-05,0.00394216,1.15453e-05
2,no corr, scratch,eta,11,-4.11589e-05,1.60293e-05,0.00389361,1.13345e-05
2,no corr, scratch,eta,13.5,2.82837e-06,1.30091e-05,0.00387153,9.1988e-06
2,no corr, scratch,eta,17.5,-5.84647e-06,9.91346e-06,0.00381647,7.00987e-06
2,no corr, scratch,eta,25,-1.91212e-05,6.72896e-06,0.00368501,4.75809e-06
3,no corr, cluster,eta,3,1.43193e-05,1.93006e-05,0.00428409,1.36476e-05
3,no corr, cluster,eta,5,9.47794e-06,1.80788e-05,0.00410225,1.27836e-05
3,no corr, cluster,eta,7,-1.32942e-05,1.69983e-05,0.00401584,1.20196e-05
3,no corr, cluster,eta,9,-2.71464e-05,1.65737e-05,0.00400161,1.17194e-05
3,no corr, cluster,eta,11,-4.4074e-05,1.63024e-05,0.00395994,1.15275e-05
3,no corr, cluster,eta,13.5,-1.16861e-06,1.32065e-05,0.00393028,9.33841e-06
3,no corr, cluster,eta,17.5,-1.21484e-05,1.0093e-05,0.0038856,7.13684e-06
3,no corr, cluster,eta,25,-3.39526e-05,6.85254e-06,0.00375268,4.84547e-06
