series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,eta,3,1.6755e-05,1.91555e-05,0.00425187,1.3545e-05
0,from scratch,eta,5,7.32209e-06,1.79096e-05,0.00406386,1.2664e-05
0,from scratch,eta,7,-5.87666e-06,1.68444e-05,0.00397949,1.19108e-05
0,from scratch,eta,9,-2.2429e-05,1.63275e-05,0.00394216,1.15453e-05
0,from scratch,eta,11,-4.11589e-05,1.60293e-05,0.00389361,1.13345e-05
0,from scratch,eta,13.5,2.82837e-06,1.30091e-05,0.00387153,9.1988e-06
0,from scratch,eta,17.5,-5.84647e-06,9.91346e-06,0.00381647,7.00987e-06
0,from scratch,eta,25,-1.91212e-05,6.72896e-06,0.00368501,4.75809e-06
1,clusterizer,eta,3,1.43193e-05,1.93006e-05,0.00428409,1.36476e-05
1,clusterizer,eta,5,9.47794e-06,1.80788e-05,0.00410225,1.27836e-05
1,clusterizer,eta,7,-1.32942e-05,1.69983e-05,0.00401584,1.20196e-05
1,clusterizer,eta,9,-2.71464e-05,1.65737e-05,0.00400161,1.17194e-05
1,clusterizer,eta,11,-4.4074e-05,1.63024e-05,0.00395994,1.15275e-05
1,clusterizer,eta,13.5,-1.16861e-06,1.32065e-05,0.00393028,9.33841e-06
1,clusterizer,eta,17.5,-1.21484e-05,1.0093e-05,0.0038856,7.13684e-06
1,clusterizer,eta,25,-3.39526e-05,6.85254e-06,0.00375268,4.84547e-06
