series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,phi,3,-0.000375435,1.82181e-05,0.00423366,1.28822e-05
0,from scratch,phi,5,9.05454e-05,1.7149e-05,0.00405337,1.21262e-05
0,from scratch,phi,7,0.000305721,1.62962e-05,0.00399503,1.15232e-05
0,from scratch,phi,9,0.000500721,1.63435e-05,0.00408225,1.15566e-05
0,from scratch,phi,11,0.000675981,1.68025e-05,0.00420791,1.18811e-05
0,from scratch,phi,13.5,0.000826423,1.41129e-05,0.00431268,9.97932e-06
0,from scratch,phi,17.5,0.00105649,1.09123e-05,0.0042976,7.71615e-06
0,from scratch,phi,25,0.00133349,7.11856e-06,0.00398294,5.03358e-06
1,clusterizer,phi,3,-0.00177068,1.8714e-05,0.0043489,1.32328e-05
1,clusterizer,phi,5,-0.00134113,1.77287e-05,0.00419043,1.25361e-05
1,clusterizer,phi,7,-0.00111572,1.68331e-05,0.00412665,1.19028e-05
1,clusterizer,phi,9,-0.000899477,1.68151e-05,0.00420004,1.18901e-05
1,clusterizer,phi,11,-0.000672888,1.7246e-05,0.00431897,1.21948e-05
1,clusterizer,phi,13.5,-0.000465743,1.44962e-05,0.00442982,1.02504e-05
1,clusterizer,phi,17.5,-0.000186711,1.1196e-05,0.00440932,7.91675e-06
1,clusterizer,phi,25,-3.04146e-05,7.29345e-06,0.00408079,5.15725e-06
