series,variant,residual,E,mu,dmu,sigma,dsigma
0,b(E) corr, scratch,phi,3,-0.000139798,1.59682e-05,0.00370868,1.12912e-05
0,b(E) corr, scratch,phi,5,1.30474e-05,1.40274e-05,0.003318,9.91885e-06
0,b(E) corr, scratch,phi,7,8.2297e-06,1.28547e-05,0.00315262,9.08964e-06
0,b(E) corr, scratch,phi,9,-2.57201e-05,1.30698e-05,0.00326185,9.24174e-06
0,b(E) corr, scratch,phi,11,-2.851e-05,1.36969e-05,0.00342579,9.68519e-06
0,b(E) corr, scratch,phi,13.5,3.53468e-05,1.16892e-05,0.00356867,8.26554e-06
0,b(E) corr, scratch,phi,17.5,9.18788e-05,8.82746e-06,0.00347401,6.24195e-06
0,b(E) corr, scratch,phi,25,7.93321e-07,5.33275e-06,0.00298162,3.77082e-06
1,CorrectPosition, cluster,phi,3,-0.000126877,1.66135e-05,0.00385855,1.17475e-05
1,CorrectPosition, cluster,phi,5,1.32082e-05,1.45002e-05,0.00342984,1.02532e-05
1,CorrectPosition, cluster,phi,7,1.30511e-05,1.32076e-05,0.00323918,9.3392e-06
1,CorrectPosition, cluster,phi,9,-1.47385e-05,1.32601e-05,0.00330934,9.37628e-06
1,CorrectPosition, cluster,phi,11,-7.58508e-06,1.38457e-05,0.00346301,9.7904e-06
1,CorrectPosition, cluster,phi,13.5,6.00236e-05,1.18524e-05,0.00361849,8.38094e-06
1,CorrectPosition, cluster,phi,17.5,0.000121735,8.92908e-06,0.003514,6.31381e-06
1,CorrectPosition, cluster,phi,25,2.49192e-05,5.40768e-06,0.00302352,3.82381e-06
2,b(E) corr, scratch,eta,3,9.62145e-06,1.70297e-05,0.00395522,1.20418e-05
2,b(E) corr, scratch,eta,5,1.24754e-05,1.50626e-05,0.00356286,1.06508e-05
2,b(E) corr, scratch,eta,7,-1.59606e-06,1.37231e-05,0.00336561,9.70371e-06
2,b(E) corr, scratch,eta,9,-2.20916e-05,1.3119e-05,0.00327413,9.27653e-06
2,b(E) corr, scratch,eta,11,-1.95741e-05,1.27406e-05,0.0031866,9.00895e-06
2,b(E) corr, scratch,eta,13.5,3.12751e-06,1.03025e-05,0.0031453,7.28496e-06
2,b(E) corr, scratch,eta,17.5,5.62378e-06,7.81612e-06,0.003076,5.52683e-06
2,b(E) corr, scratch,eta,25,2.78302e-07,5.17143e-06,0.00289143,3.65675e-06
3,CorrectPosition, cluster,eta,3,-1.11601e-05,1.83071e-05,0.00425189,1.2945e-05
3,CorrectPosition, cluster,eta,5,4.82574e-07,1.60821e-05,0.00380403,1.13718e-05
3,CorrectPosition, cluster,eta,7,-2.41405e-05,1.46079e-05,0.00358259,1.03293e-05
3,CorrectPosition, cluster,eta,9,-3.68783e-05,1.40124e-05,0.00349711,9.90829e-06
3,CorrectPosition, cluster,eta,11,-2.21798e-05,1.36146e-05,0.00340519,9.62696e-06
3,CorrectPosition, cluster,eta,13.5,-1.99614e-05,1.10188e-05,0.00336399,7.79149e-06
3,CorrectPosition, cluster,eta,17.5,-1.05632e-05,8.39007e-06,0.00330187,5.93268e-06
3,CorrectPosition, cluster,eta,25,-2.34318e-05,5.56853e-06,0.00311345,3.93754e-06
