series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),eta,3,-9.97585e-06,1.73089e-05,0.003842,1.22393e-05
0,from scratch (corr),eta,5,-5.92371e-06,1.53373e-05,0.00348018,1.08451e-05
0,from scratch (corr),eta,7,-1.15025e-05,1.39424e-05,0.0032939,9.8588e-06
0,from scratch (corr),eta,9,-3.89999e-05,1.32606e-05,0.00320168,9.37664e-06
0,from scratch (corr),eta,11,-3.08035e-05,1.2838e-05,0.00311842,9.07784e-06
0,from scratch (corr),eta,13.5,-7.69474e-06,1.03101e-05,0.00306832,7.29038e-06
0,from scratch (corr),eta,17.5,-1.74416e-06,7.78083e-06,0.00299546,5.50188e-06
0,from scratch (corr),eta,25,-1.19389e-05,5.13404e-06,0.00281158,3.63032e-06
1,clusterizer (corr),eta,3,-3.07191e-05,1.8552e-05,0.00411793,1.31183e-05
1,clusterizer (corr),eta,5,-2.11117e-05,1.63408e-05,0.00370788,1.15547e-05
1,clusterizer (corr),eta,7,-3.32712e-05,1.48333e-05,0.00350435,1.04887e-05
1,clusterizer (corr),eta,9,-5.58624e-05,1.41388e-05,0.00341372,9.99765e-06
1,clusterizer (corr),eta,11,-3.73964e-05,1.36999e-05,0.00332778,9.6873e-06
1,clusterizer (corr),eta,13.5,-3.17669e-05,1.10153e-05,0.00327818,7.789e-06
1,clusterizer (corr),eta,17.5,-1.83693e-05,8.35238e-06,0.00321549,5.90603e-06
1,clusterizer (corr),eta,25,-3.55698e-05,5.52788e-06,0.00302725,3.9088e-06
