series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),phi,3,-0.000139798,1.59682e-05,0.00370868,1.12912e-05
0,from scratch (corr),phi,5,1.30474e-05,1.40274e-05,0.003318,9.91885e-06
0,from scratch (corr),phi,7,8.2297e-06,1.28547e-05,0.00315262,9.08964e-06
0,from scratch (corr),phi,9,-2.57201e-05,1.30698e-05,0.00326185,9.24174e-06
0,from scratch (corr),phi,11,-2.851e-05,1.36969e-05,0.00342579,9.68519e-06
0,from scratch (corr),phi,13.5,3.53468e-05,1.16892e-05,0.00356867,8.26554e-06
0,from scratch (corr),phi,17.5,9.18788e-05,8.82746e-06,0.00347401,6.24195e-06
0,from scratch (corr),phi,25,7.93321e-07,5.33275e-06,0.00298162,3.77082e-06
1,clusterizer (corr),phi,3,-0.000126877,1.66135e-05,0.00385855,1.17475e-05
1,clusterizer (corr),phi,5,1.32082e-05,1.45002e-05,0.00342984,1.02532e-05
1,clusterizer (corr),phi,7,1.30511e-05,1.32076e-05,0.00323918,9.3392e-06
1,clusterizer (corr),phi,9,-1.47385e-05,1.32601e-05,0.00330934,9.37628e-06
1,clusterizer (corr),phi,11,-7.58508e-06,1.38457e-05,0.00346301,9.7904e-06
1,clusterizer (corr),phi,13.5,6.00236e-05,1.18524e-05,0.00361849,8.38094e-06
1,clusterizer (corr),phi,17.5,0.000121735,8.92908e-06,0.003514,6.31381e-06
1,clusterizer (corr),phi,25,2.49192e-05,5.40768e-06,0.00302352,3.82381e-06
