series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.000114484,1.8809e-05,0.00417495,1.32999e-05
0,no corr, cluster,phi,5,-1.72568e-05,1.77934e-05,0.00403746,1.25819e-05
0,no corr, cluster,phi,7,-4.74433e-05,1.68027e-05,0.00396964,1.18813e-05
0,no corr, cluster,phi,9,-7.02204e-05,1.67866e-05,0.00405302,1.18699e-05
0,no corr, cluster,phi,11,-4.36503e-05,1.7155e-05,0.00416704,1.21304e-05
0,no corr, cluster,phi,13.5,-1.82291e-05,1.42885e-05,0.0042523,1.01035e-05
0,no corr, cluster,phi,17.5,3.26532e-05,1.09866e-05,0.00422962,7.76871e-06
0,no corr, cluster,phi,25,-3.86575e-05,7.1813e-06,0.00393272,5.07795e-06
1,CorrectPosition, cluster,phi,3,-0.000126439,1.62158e-05,0.00359935,1.14663e-05
1,CorrectPosition, cluster,phi,5,2.20051e-05,1.42372e-05,0.00323055,1.00672e-05
1,CorrectPosition, cluster,phi,7,5.41083e-06,1.30502e-05,0.0030831,9.22786e-06
1,CorrectPosition, cluster,phi,9,-2.19316e-05,1.32521e-05,0.00319964,9.37066e-06
1,CorrectPosition, cluster,phi,11,-1.24146e-05,1.38339e-05,0.00336033,9.78205e-06
1,CorrectPosition, cluster,phi,13.5,3.99754e-05,1.17466e-05,0.0034958,8.30607e-06
1,CorrectPosition, cluster,phi,17.5,8.81019e-05,8.86036e-06,0.00341106,6.26522e-06
1,CorrectPosition, cluster,phi,25,-5.2517e-07,5.35505e-06,0.00293261,3.78659e-06
2,no corr, cluster,eta,3,1.6755e-05,1.91555e-05,0.00425187,1.3545e-05
2,no corr, cluster,eta,5,7.32209e-06,1.79096e-05,0.00406386,1.2664e-05
2,no corr, cluster,eta,7,-5.87666e-06,1.68444e-05,0.00397949,1.19108e-05
2,no corr, cluster,eta,9,-2.2429e-05,1.63275e-05,0.00394216,1.15453e-05
2,no corr, cluster,eta,11,-4.11589e-05,1.60293e-05,0.00389361,1.13345e-05
2,no corr, cluster,eta,13.5,2.82837e-06,1.30091e-05,0.00387153,9.1988e-06
2,no corr, cluster,eta,17.5,-5.84647e-06,9.91346e-06,0.00381647,7.00987e-06
2,no corr, cluster,eta,25,-1.91212e-05,6.72896e-06,0.00368501,4.75809e-06
3,CorrectPosition, cluster,eta,3,-9.97585e-06,1.73089e-05,0.003842,1.22393e-05
3,CorrectPosition, cluster,eta,5,-5.92371e-06,1.53373e-05,0.00348018,1.08451e-05
3,CorrectPosition, cluster,eta,7,-1.15025e-05,1.39424e-05,0.0032939,9.8588e-06
3,CorrectPosition, cluster,eta,9,-3.89999e-05,1.32606e-05,0.00320168,9.37664e-06
3,CorrectPosition, cluster,eta,11,-3.08035e-05,1.2838e-05,0.00311842,9.07784e-06
3,CorrectPosition, cluster,eta,13.5,-7.69474e-06,1.03101e-05,0.00306832,7.29038e-06
3,CorrectPosition, cluster,eta,17.5,-1.74416e-06,7.78083e-06,0.00299546,5.50188e-06
3,CorrectPosition, cluster,eta,25,-1.19389e-05,5.13404e-06,0.00281158,3.63032e-06
