series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,eta,3,2.71588e-05,1.85536e-05,0.00430916,1.31194e-05
0,no corr, scratch,eta,5,1.59607e-05,1.73189e-05,0.00409656,1.22463e-05
0,no corr, scratch,eta,7,1.92858e-06,1.63754e-05,0.00401609,1.15792e-05
0,no corr, scratch,eta,9,-1.02752e-05,1.59194e-05,0.00397302,1.12567e-05
0,no corr, scratch,eta,11,-3.14993e-05,1.56913e-05,0.00392461,1.10954e-05
0,no corr, scratch,eta,13.5,1.00799e-05,1.28054e-05,0.00390942,9.05478e-06
0,no corr, scratch,eta,17.5,-1.51087e-06,9.80866e-06,0.00386015,6.93577e-06
0,no corr, scratch,eta,25,-8.10595e-06,6.66634e-06,0.00372725,4.71382e-06
1,b(E) corr, scratch,eta,3,9.62145e-06,1.70297e-05,0.00395522,1.20418e-05
1,b(E) corr, scratch,eta,5,1.24754e-05,1.50626e-05,0.00356286,1.06508e-05
1,b(E) corr, scratch,eta,7,-1.59606e-06,1.37231e-05,0.00336561,9.70371e-06
1,b(E) corr, scratch,eta,9,-2.20916e-05,1.3119e-05,0.00327413,9.27653e-06
1,b(E) corr, scratch,eta,11,-1.95741e-05,1.27406e-05,0.0031866,9.00895e-06
1,b(E) corr, scratch,eta,13.5,3.12751e-06,1.03025e-05,0.0031453,7.28496e-06
1,b(E) corr, scratch,eta,17.5,5.62378e-06,7.81612e-06,0.003076,5.52683e-06
1,b(E) corr, scratch,eta,25,2.78302e-07,5.17143e-06,0.00289143,3.65675e-06
