series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,-0.000127174,1.82117e-05,0.00422974,1.28776e-05
0,no corr, scratch,phi,5,-2.30299e-05,1.71763e-05,0.00406281,1.21455e-05
0,no corr, scratch,phi,7,-4.07661e-05,1.6273e-05,0.00399096,1.15067e-05
0,no corr, scratch,phi,9,-7.03208e-05,1.6327e-05,0.00407477,1.1545e-05
0,no corr, scratch,phi,11,-5.64205e-05,1.67825e-05,0.00419754,1.1867e-05
0,no corr, scratch,phi,13.5,-3.19564e-05,1.40797e-05,0.00429845,9.95584e-06
0,no corr, scratch,phi,17.5,3.98701e-05,1.0855e-05,0.00427194,7.67566e-06
0,no corr, scratch,phi,25,-3.81754e-05,7.08198e-06,0.00395965,5.00772e-06
1,b(E) corr, scratch,phi,3,-0.000139798,1.59682e-05,0.00370868,1.12912e-05
1,b(E) corr, scratch,phi,5,1.30474e-05,1.40274e-05,0.003318,9.91885e-06
1,b(E) corr, scratch,phi,7,8.2297e-06,1.28547e-05,0.00315262,9.08964e-06
1,b(E) corr, scratch,phi,9,-2.57201e-05,1.30698e-05,0.00326185,9.24174e-06
1,b(E) corr, scratch,phi,11,-2.851e-05,1.36969e-05,0.00342579,9.68519e-06
1,b(E) corr, scratch,phi,13.5,3.53468e-05,1.16892e-05,0.00356867,8.26554e-06
1,b(E) corr, scratch,phi,17.5,9.18788e-05,8.82746e-06,0.00347401,6.24195e-06
1,b(E) corr, scratch,phi,25,7.93321e-07,5.33275e-06,0.00298162,3.77082e-06
