KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,49268,-0.00187232,0.00419108,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,49268,1.71945e-05,0.00424291,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,49268,-0.00140387,0.00361034,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,49268,-9.73712e-06,0.00383322,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,49268,-0.00179215,0.00426743,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,49268,-0.00111618,0.00373094,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_vzDep,,0,2,4,49268,-0.00124616,0.00359501,NAME,h_phi_diff_cpCorrEA_geom_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,49268,-0.00125094,0.0035905,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,49268,-0.0012462,0.00359432,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_mixed,,0,2,4,49268,-0.00125468,0.00358881,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,49268,-0.001308,0.00369304,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,49268,1.57583e-05,0.00427267,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,49268,-3.24561e-05,0.0041063,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_vzDep,,0,2,4,49268,-2.13164e-05,0.0038929,NAME,h_eta_diff_cpCorrEA_geom_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,49268,-1.98279e-05,0.00388071,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
eta,CLUSCP_EA,,0,2,4,49268,-2.13539e-05,0.00389201,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_2_4
eta,CLUSCP_EA_mixed,,0,2,4,49268,-1.90242e-05,0.00387427,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_2_4
eta,CLUScpDirectBvals,,0,2,4,49268,-1.93599e-05,0.00385719,NAME,h_eta_diff_cpBcorr_2_4
phi,PDCraw,0_60vz,0,2,4,271246,-0.00170551,0.0042978,XAXIS,h_phi_diff_raw_2_4_0_60vz
phi,PDCcor,0_60vz,0,2,4,271246,-0.00124673,0.00372282,XAXIS,h_phi_diff_corr_2_4_0_60vz
phi,CLUSRAW,0_60vz,0,2,4,271246,-0.00163363,0.0043955,NAME,h_phi_diff_cpRaw_2_4_0_60vz
phi,CLUSCP,0_60vz,0,2,4,271246,-0.000952016,0.00386618,NAME,h_phi_diff_cpCorr_2_4_0_60vz
phi,CLUSCP_EA_vzDep,0_60vz,0,2,4,271246,-0.00106741,0.00374189,NAME,h_phi_diff_cpCorrEA_geom_2_4_0_60vz
phi,CLUSCP_EA_etaDep,0_60vz,0,2,4,271246,-0.0010779,0.00373914,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4_0_60vz
