variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,1.57583e-05,1.92494e-05,0.00427267,1.36114e-05
CLUSRAW,5,8.58076e-06,1.8042e-05,0.00409292,1.27576e-05
CLUSRAW,7,-1.3183e-05,1.69527e-05,0.00400501,1.19874e-05
CLUSRAW,9,-2.80013e-05,1.65181e-05,0.00399048,1.16801e-05
CLUSRAW,11,-4.48025e-05,1.62557e-05,0.00395018,1.14945e-05
CLUSRAW,13.5,-1.36077e-06,1.31784e-05,0.00392213,9.31851e-06
CLUSRAW,17.5,-1.15208e-05,1.00659e-05,0.00387523,7.11766e-06
CLUSRAW,25,-3.42875e-05,6.83174e-06,0.00374129,4.83077e-06
CLUSCP,3,-3.24561e-05,1.84999e-05,0.0041063,1.30814e-05
CLUSCP,5,-2.39436e-05,1.62999e-05,0.0036977,1.15257e-05
CLUSCP,7,-3.25908e-05,1.47894e-05,0.00349394,1.04577e-05
CLUSCP,9,-5.92007e-05,1.40832e-05,0.00340226,9.95835e-06
CLUSCP,11,-3.81112e-05,1.36539e-05,0.00331792,9.65475e-06
CLUSCP,13.5,-3.21461e-05,1.09769e-05,0.00326693,7.76183e-06
CLUSCP,17.5,-1.81573e-05,8.31778e-06,0.00320224,5.88156e-06
CLUSCP,25,-3.58752e-05,5.5025e-06,0.00301336,3.89086e-06
CLUSCP_EA,3,-2.13539e-05,1.75344e-05,0.00389201,1.23987e-05
CLUSCP_EA,5,-1.50705e-05,1.55581e-05,0.00352942,1.10012e-05
CLUSCP_EA,7,-2.79601e-05,1.41916e-05,0.0033527,1.0035e-05
CLUSCP_EA,9,-5.08417e-05,1.35785e-05,0.00328032,9.60143e-06
CLUSCP_EA,11,-3.87672e-05,1.31921e-05,0.0032057,9.32819e-06
CLUSCP_EA,13.5,-2.34438e-05,1.06123e-05,0.00315843,7.50405e-06
CLUSCP_EA,17.5,-1.64767e-05,8.04237e-06,0.00309621,5.68682e-06
CLUSCP_EA,25,-3.50157e-05,5.31802e-06,0.00291233,3.76041e-06
CLUSCP_EA_vzDep,3,-2.13164e-05,1.75384e-05,0.0038929,1.24015e-05
CLUSCP_EA_vzDep,5,-1.52966e-05,1.55604e-05,0.00352995,1.10029e-05
CLUSCP_EA_vzDep,7,-2.79556e-05,1.41926e-05,0.00335294,1.00357e-05
CLUSCP_EA_vzDep,9,-5.08472e-05,1.35793e-05,0.00328051,9.60199e-06
CLUSCP_EA_vzDep,11,-3.89716e-05,1.3193e-05,0.00320594,9.32889e-06
CLUSCP_EA_vzDep,13.5,-2.34569e-05,1.06128e-05,0.00315857,7.50438e-06
CLUSCP_EA_vzDep,17.5,-1.6559e-05,8.04244e-06,0.00309623,5.68686e-06
CLUSCP_EA_vzDep,25,-3.50128e-05,5.31807e-06,0.00291235,3.76044e-06
CLUSCP_EA_etaDep,3,-1.98279e-05,1.74835e-05,0.00388071,1.23627e-05
CLUSCP_EA_etaDep,5,-1.49749e-05,1.5504e-05,0.00351715,1.0963e-05
CLUSCP_EA_etaDep,7,-2.6828e-05,1.41325e-05,0.00333875,9.99322e-06
CLUSCP_EA_etaDep,9,-4.81856e-05,1.35255e-05,0.00326752,9.56396e-06
CLUSCP_EA_etaDep,11,-3.95126e-05,1.31351e-05,0.00319185,9.2879e-06
CLUSCP_EA_etaDep,13.5,-2.17278e-05,1.0555e-05,0.00314136,7.4635e-06
CLUSCP_EA_etaDep,17.5,-1.53815e-05,7.99314e-06,0.00307726,5.65201e-06
CLUSCP_EA_etaDep,25,-3.52088e-05,5.27761e-06,0.0028902,3.73184e-06
PDCraw,3,1.71945e-05,1.91153e-05,0.00424291,1.35166e-05
PDCraw,5,8.54384e-06,1.78783e-05,0.00405577,1.26418e-05
PDCraw,7,-6.24804e-06,1.67985e-05,0.00396858,1.18784e-05
PDCraw,9,-2.34256e-05,1.62745e-05,0.00393162,1.15078e-05
PDCraw,11,-4.2872e-05,1.59838e-05,0.00388409,1.13022e-05
PDCraw,13.5,3.48133e-06,1.29744e-05,0.00386142,9.17428e-06
PDCraw,17.5,-5.3466e-06,9.884e-06,0.00380521,6.98904e-06
PDCraw,25,-2.07827e-05,6.70755e-06,0.00367328,4.74296e-06
PDCcor,3,-9.73712e-06,1.72696e-05,0.00383322,1.22114e-05
