series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,2.22313e-05,1.86957e-05,0.00434361,1.32199e-05
0,Constant-b (Production) Uncorr,eta,5,1.73209e-05,1.74853e-05,0.00413678,1.2364e-05
0,Constant-b (Production) Uncorr,eta,7,-9.65706e-06,1.65049e-05,0.00405011,1.16708e-05
0,Constant-b (Production) Uncorr,eta,9,-1.72165e-05,1.61355e-05,0.004031,1.14095e-05
0,Constant-b (Production) Uncorr,eta,11,-3.42238e-05,1.59451e-05,0.0039914,1.12749e-05
0,Constant-b (Production) Uncorr,eta,13.5,3.26867e-06,1.29906e-05,0.0039682,9.18575e-06
0,Constant-b (Production) Uncorr,eta,17.5,-9.20443e-06,9.9729e-06,0.00392676,7.0519e-06
0,Constant-b (Production) Uncorr,eta,25,-2.49616e-05,6.77927e-06,0.00379216,4.79367e-06
1,(Production) CP(EA E-only),eta,3,-3.16796e-06,1.73231e-05,0.00402472,1.22493e-05
1,(Production) CP(EA E-only),eta,5,4.6183e-06,1.53417e-05,0.00362963,1.08482e-05
1,(Production) CP(EA E-only),eta,7,-1.89571e-05,1.4012e-05,0.00343836,9.90795e-06
1,(Production) CP(EA E-only),eta,9,-3.2294e-05,1.3481e-05,0.00336786,9.53254e-06
1,(Production) CP(EA E-only),eta,11,-2.3292e-05,1.31405e-05,0.00328934,9.2917e-06
1,(Production) CP(EA E-only),eta,13.5,-1.20244e-05,1.06458e-05,0.00325194,7.52771e-06
1,(Production) CP(EA E-only),eta,17.5,-1.03784e-05,8.10747e-06,0.00319226,5.73285e-06
1,(Production) CP(EA E-only),eta,25,-2.41914e-05,5.37932e-06,0.00300906,3.80375e-06
