series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.00176716,1.87193e-05,0.00434907,1.32365e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00130105,1.77108e-05,0.00419013,1.25234e-05
0,Constant-b (Production) Uncorr,phi,7,-0.00105994,1.675e-05,0.00411025,1.18441e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000875863,1.67631e-05,0.00418779,1.18533e-05
0,Constant-b (Production) Uncorr,phi,11,-0.00066685,1.7214e-05,0.00430904,1.21721e-05
0,Constant-b (Production) Uncorr,phi,13.5,-0.000466681,1.44855e-05,0.00442485,1.02428e-05
0,Constant-b (Production) Uncorr,phi,17.5,-0.000189797,1.11928e-05,0.00440708,7.91448e-06
0,Constant-b (Production) Uncorr,phi,25,-3.12351e-05,7.29636e-06,0.0040814,5.1593e-06
1,(Production) CP(EA E-only),phi,3,-0.00125008,1.60727e-05,0.00373419,1.13651e-05
1,(Production) CP(EA E-only),phi,5,-0.00074728,1.41065e-05,0.0033374,9.97481e-06
1,(Production) CP(EA E-only),phi,7,-0.000502906,1.28893e-05,0.00316287,9.1141e-06
1,(Production) CP(EA E-only),phi,9,-0.000320352,1.30292e-05,0.00325498,9.21305e-06
1,(Production) CP(EA E-only),phi,11,-0.000139457,1.36747e-05,0.00342307,9.66947e-06
1,(Production) CP(EA E-only),phi,13.5,8.69039e-05,1.1757e-05,0.00359137,8.31344e-06
1,(Production) CP(EA E-only),phi,17.5,0.000334456,8.90402e-06,0.0035059,6.29609e-06
1,(Production) CP(EA E-only),phi,25,0.000534653,5.3808e-06,0.00300989,3.8048e-06
