series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,1.43704e-05,1.93009e-05,0.00428411,1.36478e-05
0,Constant-b (Production) Uncorr,eta,5,8.83159e-06,1.80829e-05,0.00410219,1.27865e-05
0,Constant-b (Production) Uncorr,eta,7,-1.36709e-05,1.70002e-05,0.00401622,1.2021e-05
0,Constant-b (Production) Uncorr,eta,9,-2.74665e-05,1.65628e-05,0.00400128,1.17117e-05
0,Constant-b (Production) Uncorr,eta,11,-4.4149e-05,1.62987e-05,0.00396062,1.15249e-05
0,Constant-b (Production) Uncorr,eta,13.5,-1.45072e-06,1.32073e-05,0.00393075,9.33899e-06
0,Constant-b (Production) Uncorr,eta,17.5,-1.20399e-05,1.00929e-05,0.00388564,7.13676e-06
0,Constant-b (Production) Uncorr,eta,25,-3.3956e-05,6.85254e-06,0.00375268,4.84548e-06
1,(Production) CP(EA |#eta|+E),eta,3,-2.06219e-05,1.75387e-05,0.00389296,1.24017e-05
1,(Production) CP(EA |#eta|+E),eta,5,-1.45639e-05,1.55598e-05,0.00352982,1.10025e-05
1,(Production) CP(EA |#eta|+E),eta,7,-2.79868e-05,1.41851e-05,0.00335118,1.00304e-05
1,(Production) CP(EA |#eta|+E),eta,9,-4.87132e-05,1.35749e-05,0.00327945,9.59888e-06
1,(Production) CP(EA |#eta|+E),eta,11,-3.90347e-05,1.31836e-05,0.00320365,9.32222e-06
1,(Production) CP(EA |#eta|+E),eta,13.5,-2.03608e-05,1.06032e-05,0.0031557,7.49758e-06
1,(Production) CP(EA |#eta|+E),eta,17.5,-1.62568e-05,8.02645e-06,0.00309008,5.67555e-06
1,(Production) CP(EA |#eta|+E),eta,25,-3.57165e-05,5.30403e-06,0.00290467,3.75052e-06
