series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,1.43704e-05,1.93009e-05,0.00428411,1.36478e-05
0,Constant-b (Production) Uncorr,eta,5,8.83159e-06,1.80829e-05,0.00410219,1.27865e-05
0,Constant-b (Production) Uncorr,eta,7,-1.36709e-05,1.70002e-05,0.00401622,1.2021e-05
0,Constant-b (Production) Uncorr,eta,9,-2.74665e-05,1.65628e-05,0.00400128,1.17117e-05
0,Constant-b (Production) Uncorr,eta,11,-4.4149e-05,1.62987e-05,0.00396062,1.15249e-05
0,Constant-b (Production) Uncorr,eta,13.5,-1.45072e-06,1.32073e-05,0.00393075,9.33899e-06
0,Constant-b (Production) Uncorr,eta,17.5,-1.20399e-05,1.00929e-05,0.00388564,7.13676e-06
0,Constant-b (Production) Uncorr,eta,25,-3.3956e-05,6.85254e-06,0.00375268,4.84548e-06
1,(Production) CP(|vz| + E),eta,3,-2.19412e-05,1.76014e-05,0.00390688,1.24461e-05
1,(Production) CP(|vz| + E),eta,5,-1.67208e-05,1.56208e-05,0.00354364,1.10455e-05
1,(Production) CP(|vz| + E),eta,7,-2.72701e-05,1.42502e-05,0.00336654,1.00764e-05
1,(Production) CP(|vz| + E),eta,9,-4.8936e-05,1.36245e-05,0.00329143,9.63395e-06
1,(Production) CP(|vz| + E),eta,11,-3.86452e-05,1.32421e-05,0.00321786,9.36358e-06
1,(Production) CP(|vz| + E),eta,13.5,-2.24042e-05,1.06548e-05,0.00317107,7.53409e-06
1,(Production) CP(|vz| + E),eta,17.5,-1.68438e-05,8.07791e-06,0.00310989,5.71195e-06
1,(Production) CP(|vz| + E),eta,25,-3.593e-05,5.34458e-06,0.00292688,3.77919e-06
