series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.0017912,1.92722e-05,0.00427773,1.36275e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00131925,1.82961e-05,0.00415055,1.29373e-05
0,Constant-b (Production) Uncorr,phi,7,-0.00108708,1.72172e-05,0.0040675,1.21744e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000900243,1.71859e-05,0.00415182,1.21523e-05
0,Constant-b (Production) Uncorr,phi,11,-0.000681897,1.75551e-05,0.00426592,1.24133e-05
0,Constant-b (Production) Uncorr,phi,13.5,-0.00048293,1.46616e-05,0.00436357,1.03673e-05
0,Constant-b (Production) Uncorr,phi,17.5,-0.000224906,1.13047e-05,0.00435217,7.99365e-06
0,Constant-b (Production) Uncorr,phi,25,-6.53361e-05,7.36871e-06,0.00403536,5.21046e-06
1,Constant-b (Production) Corr,phi,3,-0.0011159,1.68688e-05,0.00374427,1.19281e-05
1,Constant-b (Production) Corr,phi,5,-0.000628034,1.46455e-05,0.0033224,1.03559e-05
1,Constant-b (Production) Corr,phi,7,-0.000394915,1.32983e-05,0.00314167,9.40333e-06
1,Constant-b (Production) Corr,phi,9,-0.000209828,1.33969e-05,0.00323644,9.47301e-06
1,Constant-b (Production) Corr,phi,11,-2.59102e-05,1.39348e-05,0.00338618,9.85337e-06
1,Constant-b (Production) Corr,phi,13.5,0.00017986,1.18757e-05,0.00353445,8.39742e-06
1,Constant-b (Production) Corr,phi,17.5,0.000403316,8.95046e-06,0.00344581,6.32893e-06
1,Constant-b (Production) Corr,phi,25,0.000598525,5.41269e-06,0.00296417,3.82735e-06
