series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.0017912,1.92722e-05,0.00427773,1.36275e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00131925,1.82961e-05,0.00415055,1.29373e-05
0,Constant-b (Production) Uncorr,phi,7,-0.00108708,1.72172e-05,0.0040675,1.21744e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000900243,1.71859e-05,0.00415182,1.21523e-05
0,Constant-b (Production) Uncorr,phi,11,-0.000681897,1.75551e-05,0.00426592,1.24133e-05
0,Constant-b (Production) Uncorr,phi,13.5,-0.00048293,1.46616e-05,0.00436357,1.03673e-05
0,Constant-b (Production) Uncorr,phi,17.5,-0.000224906,1.13047e-05,0.00435217,7.99365e-06
0,Constant-b (Production) Uncorr,phi,25,-6.53361e-05,7.36871e-06,0.00403536,5.21046e-06
1,Constant-b (Production) Corr,phi,3,-0.0011159,1.68688e-05,0.00374427,1.19281e-05
1,Constant-b (Production) Corr,phi,5,-0.000628034,1.46455e-05,0.0033224,1.03559e-05
1,Constant-b (Production) Corr,phi,7,-0.000394915,1.32983e-05,0.00314167,9.40333e-06
1,Constant-b (Production) Corr,phi,9,-0.000209828,1.33969e-05,0.00323644,9.47301e-06
1,Constant-b (Production) Corr,phi,11,-2.59102e-05,1.39348e-05,0.00338618,9.85337e-06
1,Constant-b (Production) Corr,phi,13.5,0.00017986,1.18757e-05,0.00353445,8.39742e-06
1,Constant-b (Production) Corr,phi,17.5,0.000403316,8.95046e-06,0.00344581,6.32893e-06
1,Constant-b (Production) Corr,phi,25,0.000598525,5.41269e-06,0.00296417,3.82735e-06
2,Variable-b (Benchmark) Uncorr,phi,3,-0.00187343,1.89237e-05,0.00420037,1.33811e-05
2,Variable-b (Benchmark) Uncorr,phi,5,-0.00140245,1.78209e-05,0.00404271,1.26013e-05
2,Variable-b (Benchmark) Uncorr,phi,7,-0.00118157,1.68183e-05,0.00397325,1.18923e-05
2,Variable-b (Benchmark) Uncorr,phi,9,-0.000969758,1.68146e-05,0.0040621,1.18897e-05
2,Variable-b (Benchmark) Uncorr,phi,11,-0.000762625,1.71842e-05,0.00417579,1.21511e-05
2,Variable-b (Benchmark) Uncorr,phi,13.5,-0.000552124,1.4301e-05,0.00425626,1.01124e-05
2,Variable-b (Benchmark) Uncorr,phi,17.5,-0.000310377,1.09883e-05,0.00423036,7.76992e-06
2,Variable-b (Benchmark) Uncorr,phi,25,-0.000132585,7.18312e-06,0.00393372,5.07923e-06
3,Variable-b (Benchmark) Corr,phi,3,-0.00140527,1.63229e-05,0.00362309,1.1542e-05
3,Variable-b (Benchmark) Corr,phi,5,-0.000882605,1.42526e-05,0.00323328,1.00781e-05
3,Variable-b (Benchmark) Corr,phi,7,-0.000645453,1.30384e-05,0.00308026,9.21952e-06
3,Variable-b (Benchmark) Corr,phi,9,-0.00046239,1.32484e-05,0.00320058,9.36804e-06
3,Variable-b (Benchmark) Corr,phi,11,-0.000263692,1.38454e-05,0.00336446,9.79016e-06
3,Variable-b (Benchmark) Corr,phi,13.5,-4.61576e-05,1.17465e-05,0.00349597,8.30602e-06
3,Variable-b (Benchmark) Corr,phi,17.5,0.000181766,8.86007e-06,0.00341101,6.26501e-06
3,Variable-b (Benchmark) Corr,phi,25,0.000387124,5.35819e-06,0.00293433,3.78881e-06
