series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,-0.00185279,1.83359e-05,0.00426001,1.29654e-05
0,no corr, scratch,phi,5,-0.00138596,1.71971e-05,0.00406855,1.21602e-05
0,no corr, scratch,phi,7,-0.00115764,1.62804e-05,0.00399501,1.1512e-05
0,no corr, scratch,phi,9,-0.000948783,1.63457e-05,0.00408351,1.15581e-05
0,no corr, scratch,phi,11,-0.000750634,1.68018e-05,0.00420586,1.18807e-05
0,no corr, scratch,phi,13.5,-0.000537917,1.40875e-05,0.00430326,9.96135e-06
0,no corr, scratch,phi,17.5,-0.0002787,1.0851e-05,0.00427252,7.67282e-06
0,no corr, scratch,phi,25,-0.00010754,7.07973e-06,0.00396023,5.00612e-06
1,no corr, cluster,phi,3,-0.00176716,1.87193e-05,0.00434907,1.32365e-05
1,no corr, cluster,phi,5,-0.00130105,1.77108e-05,0.00419013,1.25234e-05
1,no corr, cluster,phi,7,-0.00105994,1.675e-05,0.00411025,1.18441e-05
1,no corr, cluster,phi,9,-0.000875863,1.67631e-05,0.00418779,1.18533e-05
1,no corr, cluster,phi,11,-0.00066685,1.7214e-05,0.00430904,1.21721e-05
1,no corr, cluster,phi,13.5,-0.000466681,1.44855e-05,0.00442485,1.02428e-05
1,no corr, cluster,phi,17.5,-0.000189797,1.11928e-05,0.00440708,7.91448e-06
1,no corr, cluster,phi,25,-3.12351e-05,7.29636e-06,0.0040814,5.1593e-06
2,no corr, scratch,eta,3,2.82523e-05,1.8546e-05,0.00430882,1.3114e-05
2,no corr, scratch,eta,5,1.64097e-05,1.73213e-05,0.00409797,1.2248e-05
2,no corr, scratch,eta,7,1.30366e-06,1.63653e-05,0.00401583,1.1572e-05
2,no corr, scratch,eta,9,-1.10477e-05,1.59064e-05,0.00397376,1.12475e-05
2,no corr, scratch,eta,11,-3.26758e-05,1.56785e-05,0.00392466,1.10863e-05
2,no corr, scratch,eta,13.5,9.88104e-06,1.27974e-05,0.00390919,9.04914e-06
2,no corr, scratch,eta,17.5,-9.03028e-07,9.80412e-06,0.00386031,6.93256e-06
2,no corr, scratch,eta,25,-8.20547e-06,6.66384e-06,0.00372759,4.71205e-06
3,no corr, cluster,eta,3,2.22313e-05,1.86957e-05,0.00434361,1.32199e-05
3,no corr, cluster,eta,5,1.73209e-05,1.74853e-05,0.00413678,1.2364e-05
3,no corr, cluster,eta,7,-9.65706e-06,1.65049e-05,0.00405011,1.16708e-05
3,no corr, cluster,eta,9,-1.72165e-05,1.61355e-05,0.004031,1.14095e-05
3,no corr, cluster,eta,11,-3.42238e-05,1.59451e-05,0.0039914,1.12749e-05
3,no corr, cluster,eta,13.5,3.26867e-06,1.29906e-05,0.0039682,9.18575e-06
3,no corr, cluster,eta,17.5,-9.20443e-06,9.9729e-06,0.00392676,7.0519e-06
3,no corr, cluster,eta,25,-2.49616e-05,6.77927e-06,0.00379216,4.79367e-06
