series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,eta,3,1.6806e-05,1.91556e-05,0.00425184,1.3545e-05
0,from scratch,eta,5,7.21878e-06,1.79142e-05,0.00406393,1.26673e-05
0,from scratch,eta,7,-6.70107e-06,1.68455e-05,0.00397968,1.19116e-05
0,from scratch,eta,9,-2.31658e-05,1.63195e-05,0.00394251,1.15396e-05
0,from scratch,eta,11,-4.1829e-05,1.6026e-05,0.00389436,1.13321e-05
0,from scratch,eta,13.5,2.64741e-06,1.30088e-05,0.00387166,9.19861e-06
0,from scratch,eta,17.5,-5.73154e-06,9.9133e-06,0.00381649,7.00976e-06
0,from scratch,eta,25,-1.91279e-05,6.72896e-06,0.00368501,4.75809e-06
1,clusterizer,eta,3,1.43704e-05,1.93009e-05,0.00428411,1.36478e-05
1,clusterizer,eta,5,8.83159e-06,1.80829e-05,0.00410219,1.27865e-05
1,clusterizer,eta,7,-1.36709e-05,1.70002e-05,0.00401622,1.2021e-05
1,clusterizer,eta,9,-2.74665e-05,1.65628e-05,0.00400128,1.17117e-05
1,clusterizer,eta,11,-4.4149e-05,1.62987e-05,0.00396062,1.15249e-05
1,clusterizer,eta,13.5,-1.45072e-06,1.32073e-05,0.00393075,9.33899e-06
1,clusterizer,eta,17.5,-1.20399e-05,1.00929e-05,0.00388564,7.13676e-06
1,clusterizer,eta,25,-3.3956e-05,6.85254e-06,0.00375268,4.84548e-06
