series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,phi,3,-0.00187343,1.89237e-05,0.00420037,1.33811e-05
0,from scratch,phi,5,-0.00140245,1.78209e-05,0.00404271,1.26013e-05
0,from scratch,phi,7,-0.00118157,1.68183e-05,0.00397325,1.18923e-05
0,from scratch,phi,9,-0.000969758,1.68146e-05,0.0040621,1.18897e-05
0,from scratch,phi,11,-0.000762625,1.71842e-05,0.00417579,1.21511e-05
0,from scratch,phi,13.5,-0.000552124,1.4301e-05,0.00425626,1.01124e-05
0,from scratch,phi,17.5,-0.000310377,1.09883e-05,0.00423036,7.76992e-06
0,from scratch,phi,25,-0.000132585,7.18312e-06,0.00393372,5.07923e-06
1,clusterizer,phi,3,-0.0017912,1.92722e-05,0.00427773,1.36275e-05
1,clusterizer,phi,5,-0.00131925,1.82961e-05,0.00415055,1.29373e-05
1,clusterizer,phi,7,-0.00108708,1.72172e-05,0.0040675,1.21744e-05
1,clusterizer,phi,9,-0.000900243,1.71859e-05,0.00415182,1.21523e-05
1,clusterizer,phi,11,-0.000681897,1.75551e-05,0.00426592,1.24133e-05
1,clusterizer,phi,13.5,-0.00048293,1.46616e-05,0.00436357,1.03673e-05
1,clusterizer,phi,17.5,-0.000224906,1.13047e-05,0.00435217,7.99365e-06
1,clusterizer,phi,25,-6.53361e-05,7.36871e-06,0.00403536,5.21046e-06
