series,variant,residual,E,mu,dmu,sigma,dsigma
0,b(E) corr, scratch,phi,3,-0.00140527,1.63229e-05,0.00362309,1.1542e-05
0,b(E) corr, scratch,phi,5,-0.000882605,1.42526e-05,0.00323328,1.00781e-05
0,b(E) corr, scratch,phi,7,-0.000645453,1.30384e-05,0.00308026,9.21952e-06
0,b(E) corr, scratch,phi,9,-0.00046239,1.32484e-05,0.00320058,9.36804e-06
0,b(E) corr, scratch,phi,11,-0.000263692,1.38454e-05,0.00336446,9.79016e-06
0,b(E) corr, scratch,phi,13.5,-4.61576e-05,1.17465e-05,0.00349597,8.30602e-06
0,b(E) corr, scratch,phi,17.5,0.000181766,8.86007e-06,0.00341101,6.26501e-06
0,b(E) corr, scratch,phi,25,0.000387124,5.35819e-06,0.00293433,3.78881e-06
1,CorrectPosition, cluster,phi,3,-0.0011159,1.68688e-05,0.00374427,1.19281e-05
1,CorrectPosition, cluster,phi,5,-0.000628034,1.46455e-05,0.0033224,1.03559e-05
1,CorrectPosition, cluster,phi,7,-0.000394915,1.32983e-05,0.00314167,9.40333e-06
1,CorrectPosition, cluster,phi,9,-0.000209828,1.33969e-05,0.00323644,9.47301e-06
1,CorrectPosition, cluster,phi,11,-2.59102e-05,1.39348e-05,0.00338618,9.85337e-06
1,CorrectPosition, cluster,phi,13.5,0.00017986,1.18757e-05,0.00353445,8.39742e-06
1,CorrectPosition, cluster,phi,17.5,0.000403316,8.95046e-06,0.00344581,6.32893e-06
1,CorrectPosition, cluster,phi,25,0.000598525,5.41269e-06,0.00296417,3.82735e-06
2,b(E) corr, scratch,eta,3,-1.00065e-05,1.7309e-05,0.00384198,1.22393e-05
2,b(E) corr, scratch,eta,5,-6.05289e-06,1.53412e-05,0.00348021,1.08478e-05
2,b(E) corr, scratch,eta,7,-1.15029e-05,1.39436e-05,0.00329412,9.85964e-06
2,b(E) corr, scratch,eta,9,-3.99232e-05,1.32539e-05,0.0032019,9.37191e-06
2,b(E) corr, scratch,eta,11,-3.13971e-05,1.28384e-05,0.00311976,9.07813e-06
2,b(E) corr, scratch,eta,13.5,-7.93095e-06,1.03105e-05,0.0030686,7.29064e-06
2,b(E) corr, scratch,eta,17.5,-1.6024e-06,7.78099e-06,0.00299558,5.50199e-06
2,b(E) corr, scratch,eta,25,-1.19422e-05,5.13403e-06,0.00281157,3.63031e-06
3,CorrectPosition, cluster,eta,3,-3.08314e-05,1.85521e-05,0.00411789,1.31183e-05
3,CorrectPosition, cluster,eta,5,-2.17729e-05,1.63455e-05,0.00370806,1.1558e-05
3,CorrectPosition, cluster,eta,7,-3.23586e-05,1.48344e-05,0.00350456,1.04895e-05
3,CorrectPosition, cluster,eta,9,-5.66464e-05,1.41304e-05,0.00341366,9.99171e-06
3,CorrectPosition, cluster,eta,11,-3.75106e-05,1.37007e-05,0.00332929,9.68783e-06
3,CorrectPosition, cluster,eta,13.5,-3.21585e-05,1.10169e-05,0.00327884,7.79012e-06
3,CorrectPosition, cluster,eta,17.5,-1.81999e-05,8.35274e-06,0.0032157,5.90628e-06
3,CorrectPosition, cluster,eta,25,-3.55698e-05,5.52788e-06,0.00302726,3.9088e-06
