series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),phi,3,-0.00140527,1.63229e-05,0.00362309,1.1542e-05
0,from scratch (corr),phi,5,-0.000882605,1.42526e-05,0.00323328,1.00781e-05
0,from scratch (corr),phi,7,-0.000645453,1.30384e-05,0.00308026,9.21952e-06
0,from scratch (corr),phi,9,-0.00046239,1.32484e-05,0.00320058,9.36804e-06
0,from scratch (corr),phi,11,-0.000263692,1.38454e-05,0.00336446,9.79016e-06
0,from scratch (corr),phi,13.5,-4.61576e-05,1.17465e-05,0.00349597,8.30602e-06
0,from scratch (corr),phi,17.5,0.000181766,8.86007e-06,0.00341101,6.26501e-06
0,from scratch (corr),phi,25,0.000387124,5.35819e-06,0.00293433,3.78881e-06
1,clusterizer (corr),phi,3,-0.0011159,1.68688e-05,0.00374427,1.19281e-05
1,clusterizer (corr),phi,5,-0.000628034,1.46455e-05,0.0033224,1.03559e-05
1,clusterizer (corr),phi,7,-0.000394915,1.32983e-05,0.00314167,9.40333e-06
1,clusterizer (corr),phi,9,-0.000209828,1.33969e-05,0.00323644,9.47301e-06
1,clusterizer (corr),phi,11,-2.59102e-05,1.39348e-05,0.00338618,9.85337e-06
1,clusterizer (corr),phi,13.5,0.00017986,1.18757e-05,0.00353445,8.39742e-06
1,clusterizer (corr),phi,17.5,0.000403316,8.95046e-06,0.00344581,6.32893e-06
1,clusterizer (corr),phi,25,0.000598525,5.41269e-06,0.00296417,3.82735e-06
