series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.00185279,1.83359e-05,0.00426001,1.29654e-05
0,no corr, cluster,phi,5,-0.00138596,1.71971e-05,0.00406855,1.21602e-05
0,no corr, cluster,phi,7,-0.00115764,1.62804e-05,0.00399501,1.1512e-05
0,no corr, cluster,phi,9,-0.000948783,1.63457e-05,0.00408351,1.15581e-05
0,no corr, cluster,phi,11,-0.000750634,1.68018e-05,0.00420586,1.18807e-05
0,no corr, cluster,phi,13.5,-0.000537917,1.40875e-05,0.00430326,9.96135e-06
0,no corr, cluster,phi,17.5,-0.0002787,1.0851e-05,0.00427252,7.67282e-06
0,no corr, cluster,phi,25,-0.00010754,7.07973e-06,0.00396023,5.00612e-06
1,CorrectPosition, cluster,phi,3,-0.00141272,1.60965e-05,0.00373972,1.13819e-05
1,CorrectPosition, cluster,phi,5,-0.000901926,1.40336e-05,0.00332015,9.92324e-06
1,CorrectPosition, cluster,phi,7,-0.000655775,1.28399e-05,0.00315076,9.0792e-06
1,CorrectPosition, cluster,phi,9,-0.000474684,1.3056e-05,0.00326168,9.23199e-06
1,CorrectPosition, cluster,phi,11,-0.00028738,1.37039e-05,0.0034304,9.69015e-06
1,CorrectPosition, cluster,phi,13.5,-5.85789e-05,1.16822e-05,0.00356852,8.26056e-06
1,CorrectPosition, cluster,phi,17.5,0.0001768,8.8235e-06,0.0034742,6.23916e-06
1,CorrectPosition, cluster,phi,25,0.000383318,5.33251e-06,0.00298287,3.77065e-06
2,no corr, cluster,eta,3,2.82523e-05,1.8546e-05,0.00430882,1.3114e-05
2,no corr, cluster,eta,5,1.64097e-05,1.73213e-05,0.00409797,1.2248e-05
2,no corr, cluster,eta,7,1.30366e-06,1.63653e-05,0.00401583,1.1572e-05
2,no corr, cluster,eta,9,-1.10477e-05,1.59064e-05,0.00397376,1.12475e-05
2,no corr, cluster,eta,11,-3.26758e-05,1.56785e-05,0.00392466,1.10863e-05
2,no corr, cluster,eta,13.5,9.88104e-06,1.27974e-05,0.00390919,9.04914e-06
2,no corr, cluster,eta,17.5,-9.03028e-07,9.80412e-06,0.00386031,6.93256e-06
2,no corr, cluster,eta,25,-8.20547e-06,6.66384e-06,0.00372759,4.71205e-06
3,CorrectPosition, cluster,eta,3,1.03746e-05,1.70232e-05,0.00395502,1.20372e-05
3,CorrectPosition, cluster,eta,5,1.29973e-05,1.50666e-05,0.00356456,1.06537e-05
3,CorrectPosition, cluster,eta,7,-9.38304e-07,1.37155e-05,0.00336562,9.69834e-06
3,CorrectPosition, cluster,eta,9,-2.29847e-05,1.31093e-05,0.00327499,9.26968e-06
3,CorrectPosition, cluster,eta,11,-2.00843e-05,1.27329e-05,0.00318732,9.0035e-06
3,CorrectPosition, cluster,eta,13.5,2.85071e-06,1.02971e-05,0.00314541,7.28113e-06
3,CorrectPosition, cluster,eta,17.5,6.28249e-06,7.81341e-06,0.00307648,5.52492e-06
3,CorrectPosition, cluster,eta,25,2.5727e-07,5.16962e-06,0.00289176,3.65548e-06
