KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,49269,-0.00011558,0.00416389,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,49269,1.71447e-05,0.00424293,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,49269,-0.000127255,0.00358909,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,49269,-9.6922e-06,0.00383323,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,49269,-0.000198731,0.00422745,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,49269,-0.000118985,0.00371396,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_vzDep,,0,2,4,49269,-0.000115838,0.00357758,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,49269,-0.000115239,0.00357269,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,49269,-0.000114177,0.003577,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_EandIncident,,0,2,4,49269,-0.000115349,0.00356917,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
phi,CLUSCP_EA_vzEtaDep,,0,2,4,49269,-0.000115005,0.00357363,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,49269,-0.000158584,0.00367039,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,49269,1.57338e-05,0.00427268,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,49269,-3.23668e-05,0.00410633,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_vzDep,,0,2,4,49269,-2.12015e-05,0.00389248,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,49269,-1.9747e-05,0.00388071,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
eta,CLUSCP_EA,,0,2,4,49269,-2.13068e-05,0.00389189,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_2_4
eta,CLUSCP_EA_EandIncident,,0,2,4,49269,7.27586e-06,0.00386783,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
eta,CLUSCP_EA_vzEtaDep,,0,2,4,49269,-1.97787e-05,0.00388346,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_2_4
eta,CLUScpDirectBvals,,0,2,4,49269,-1.92948e-05,0.0038572,NAME,h_eta_diff_cpBcorr_2_4
phi,PDCraw,,1,4,6,51487,-1.64714e-05,0.00402613,XAXIS,h_phi_diff_raw_4_6
eta,PDCraw,,1,4,6,51488,8.65346e-06,0.00405572,XAXIS,h_eta_diff_raw_4_6
phi,PDCcor,,1,4,6,51488,2.12738e-05,0.0032193,XAXIS,h_phi_diff_corr_4_6
eta,PDCcor,,1,4,6,51488,-6.58246e-06,0.0034683,XAXIS,h_eta_diff_corr_4_6
phi,CLUSRAW,,1,4,6,51488,-7.18518e-05,0.00412764,NAME,h_phi_diff_cpRaw_4_6
phi,CLUSCP,,1,4,6,51488,1.63942e-05,0.00331072,NAME,h_phi_diff_cpCorr_4_6
phi,CLUSCP_EA_vzDep,,1,4,6,51488,1.91187e-05,0.0032277,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_4_6
phi,CLUSCP_EA_etaDep,,1,4,6,51488,1.87199e-05,0.00322381,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6
phi,CLUSCP_EA,,1,4,6,51488,1.97469e-05,0.0032276,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6
phi,CLUSCP_EA_EandIncident,,1,4,6,51488,1.56591e-05,0.00322558,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
phi,CLUSCP_EA_vzEtaDep,,1,4,6,51488,1.9839e-05,0.00322489,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_4_6
phi,CLUScpDirectBvals,,1,4,6,51488,1.18467e-05,0.00335507,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,51488,9.23819e-06,0.00409293,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,51488,-2.33132e-05,0.00369762,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_vzDep,,1,4,6,51488,-1.45901e-05,0.00352974,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,51488,-1.42819e-05,0.0035172,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,51488,-1.44117e-05,0.00352936,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_EandIncident,,1,4,6,51488,8.34898e-06,0.00353288,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
eta,CLUSCP_EA_vzEtaDep,,1,4,6,51488,-1.42657e-05,0.00352156,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,51488,-1.40209e-05,0.0034934,NAME,h_eta_diff_cpBcorr_4_6
