variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,5.41484e-06,1.99099e-05,0.0042891,1.40784e-05
CLUSRAW,5,2.03559e-05,1.86794e-05,0.00411608,1.32083e-05
CLUSRAW,7,-1.41303e-05,1.75095e-05,0.00402532,1.23811e-05
CLUSRAW,9,-2.86572e-05,1.70528e-05,0.00401629,1.20582e-05
CLUSRAW,11,-4.15354e-05,1.66531e-05,0.00396365,1.17755e-05
CLUSRAW,13.5,-8.06738e-06,1.34907e-05,0.00393493,9.53934e-06
CLUSRAW,17.5,-1.12976e-05,1.0295e-05,0.00388112,7.27968e-06
CLUSRAW,25,-2.7868e-05,7.01302e-06,0.00376027,4.95895e-06
CLUSCP,3,-4.1638e-05,1.92555e-05,0.00414811,1.36157e-05
CLUSCP,5,-1.6385e-05,1.69821e-05,0.00374208,1.20082e-05
CLUSCP,7,-3.86671e-05,1.53149e-05,0.0035208,1.08293e-05
CLUSCP,9,-5.35034e-05,1.45906e-05,0.00343638,1.03171e-05
CLUSCP,11,-4.82156e-05,1.40501e-05,0.00334409,9.9349e-06
CLUSCP,13.5,-3.33449e-05,1.12539e-05,0.00328253,7.95774e-06
CLUSCP,17.5,-1.4666e-05,8.52089e-06,0.00321229,6.02518e-06
CLUSCP,25,-3.34677e-05,5.64889e-06,0.00302885,3.99437e-06
CLUSCP_EA,3,-4.16381e-05,1.92555e-05,0.00414811,1.36157e-05
CLUSCP_EA,5,-1.6385e-05,1.69821e-05,0.00374208,1.20082e-05
CLUSCP_EA,7,-3.86672e-05,1.53149e-05,0.0035208,1.08293e-05
CLUSCP_EA,9,-5.35035e-05,1.45906e-05,0.00343638,1.03171e-05
CLUSCP_EA,11,-4.82156e-05,1.40501e-05,0.00334409,9.9349e-06
CLUSCP_EA,13.5,-3.33449e-05,1.12539e-05,0.00328253,7.95774e-06
CLUSCP_EA,17.5,-1.4666e-05,8.52089e-06,0.00321229,6.02518e-06
CLUSCP_EA,25,-3.34677e-05,5.64889e-06,0.00302885,3.99437e-06
CLUSCP_EA_vzDep,3,-4.16381e-05,1.92555e-05,0.00414811,1.36157e-05
CLUSCP_EA_vzDep,5,-1.6385e-05,1.69821e-05,0.00374208,1.20082e-05
CLUSCP_EA_vzDep,7,-3.86672e-05,1.53149e-05,0.0035208,1.08293e-05
CLUSCP_EA_vzDep,9,-5.35035e-05,1.45906e-05,0.00343638,1.03171e-05
CLUSCP_EA_vzDep,11,-4.82156e-05,1.40501e-05,0.00334409,9.9349e-06
CLUSCP_EA_vzDep,13.5,-3.33449e-05,1.12539e-05,0.00328253,7.95774e-06
CLUSCP_EA_vzDep,17.5,-1.4666e-05,8.52089e-06,0.00321229,6.02518e-06
CLUSCP_EA_vzDep,25,-3.34677e-05,5.64889e-06,0.00302885,3.99437e-06
CLUSCP_EA_etaDep,3,-4.16381e-05,1.92555e-05,0.00414811,1.36157e-05
CLUSCP_EA_etaDep,5,-1.6385e-05,1.69821e-05,0.00374208,1.20082e-05
CLUSCP_EA_etaDep,7,-3.86672e-05,1.53149e-05,0.0035208,1.08293e-05
CLUSCP_EA_etaDep,9,-5.35035e-05,1.45906e-05,0.00343638,1.03171e-05
CLUSCP_EA_etaDep,11,-4.82156e-05,1.40501e-05,0.00334409,9.9349e-06
CLUSCP_EA_etaDep,13.5,-3.33449e-05,1.12539e-05,0.00328253,7.95774e-06
CLUSCP_EA_etaDep,17.5,-1.4666e-05,8.52089e-06,0.00321229,6.02518e-06
CLUSCP_EA_etaDep,25,-3.34677e-05,5.64889e-06,0.00302885,3.99437e-06
CLUSCP_EA_vzEtaDep,3,-4.16381e-05,1.92555e-05,0.00414811,1.36157e-05
CLUSCP_EA_vzEtaDep,5,-1.6385e-05,1.69821e-05,0.00374208,1.20082e-05
CLUSCP_EA_vzEtaDep,7,-3.86672e-05,1.53149e-05,0.0035208,1.08293e-05
CLUSCP_EA_vzEtaDep,9,-5.35035e-05,1.45906e-05,0.00343638,1.03171e-05
CLUSCP_EA_vzEtaDep,11,-4.82156e-05,1.40501e-05,0.00334409,9.9349e-06
CLUSCP_EA_vzEtaDep,13.5,-3.33449e-05,1.12539e-05,0.00328253,7.95774e-06
