KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,49248,-0.00187204,0.00419154,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,49248,1.70254e-05,0.0042429,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,49248,-0.00140472,0.00361047,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,49248,-9.87263e-06,0.00383321,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,49248,-0.00179166,0.00426786,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,49248,-0.00111611,0.00373136,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,49248,-0.00111611,0.00373136,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,49248,-0.00111611,0.00373136,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_EandIncident,,0,2,4,49248,-0.00165403,0.00397028,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
phi,CLUSCP_EA_vzEtaDep,,0,2,4,49248,-0.00111611,0.00373136,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,49248,-0.00130969,0.00369297,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,49248,1.55863e-05,0.00427268,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,49248,-3.24945e-05,0.0041064,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,49248,-3.24945e-05,0.0041064,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
eta,CLUSCP_EA,,0,2,4,49248,-3.24945e-05,0.0041064,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_2_4
eta,CLUSCP_EA_EandIncident,,0,2,4,49248,9.22212e-06,0.00412525,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
eta,CLUSCP_EA_vzEtaDep,,0,2,4,49248,-3.24945e-05,0.0041064,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_2_4
eta,CLUScpDirectBvals,,0,2,4,49248,-1.94819e-05,0.00385723,NAME,h_eta_diff_cpBcorr_2_4
phi,PDCraw,,1,4,6,51437,-0.00140405,0.00403199,XAXIS,h_phi_diff_raw_4_6
eta,PDCraw,,1,4,6,51438,8.90825e-06,0.00405584,XAXIS,h_eta_diff_raw_4_6
phi,PDCcor,,1,4,6,51438,-0.000885327,0.00322003,XAXIS,h_phi_diff_corr_4_6
eta,PDCcor,,1,4,6,51438,-6.41909e-06,0.00346841,XAXIS,h_eta_diff_corr_4_6
phi,CLUSRAW,,1,4,6,51438,-0.00132001,0.00414054,NAME,h_phi_diff_cpRaw_4_6
phi,CLUSCP,,1,4,6,51438,-0.000628073,0.00330862,NAME,h_phi_diff_cpCorr_4_6
phi,CLUSCP_EA_etaDep,,1,4,6,51438,-0.000628073,0.00330862,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6
phi,CLUSCP_EA,,1,4,6,51438,-0.000628073,0.00330862,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6
phi,CLUSCP_EA_EandIncident,,1,4,6,51438,-0.00117711,0.00380123,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
phi,CLUSCP_EA_vzEtaDep,,1,4,6,51438,-0.000628073,0.00330862,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_4_6
phi,CLUScpDirectBvals,,1,4,6,51438,-0.000785805,0.0033532,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,51438,8.87909e-06,0.00409284,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,51438,-2.37211e-05,0.00369734,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,51438,-2.37212e-05,0.00369734,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,51438,-2.37212e-05,0.00369734,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_EandIncident,,1,4,6,51438,4.54361e-06,0.00391908,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
eta,CLUSCP_EA_vzEtaDep,,1,4,6,51438,-2.37212e-05,0.00369734,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,51438,-1.44756e-05,0.00349319,NAME,h_eta_diff_cpBcorr_4_6
phi,PDCraw,,2,6,8,55782,-0.00118301,0.00396181,XAXIS,h_phi_diff_raw_6_8
eta,PDCraw,,2,6,8,55782,-6.98228e-06,0.00396863,XAXIS,h_eta_diff_raw_6_8
phi,PDCcor,,2,6,8,55782,-0.000648346,0.00306379,XAXIS,h_phi_diff_corr_6_8
eta,PDCcor,,2,6,8,55782,-1.27159e-05,0.00328275,XAXIS,h_eta_diff_corr_6_8
phi,CLUSRAW,,2,6,8,55782,-0.00108873,0.0040554,NAME,h_phi_diff_cpRaw_6_8
phi,CLUSCP,,2,6,8,55782,-0.000396707,0.00312857,NAME,h_phi_diff_cpCorr_6_8
phi,CLUSCP_EA_etaDep,,2,6,8,55782,-0.000396707,0.00312857,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8
phi,CLUSCP_EA,,2,6,8,55782,-0.000396707,0.00312857,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8
phi,CLUSCP_EA_EandIncident,,2,6,8,55782,-0.000958844,0.00371292,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_6_8
phi,CLUSCP_EA_vzEtaDep,,2,6,8,55782,-0.000396707,0.00312857,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_6_8
phi,CLUScpDirectBvals,,2,6,8,55782,-0.000542043,0.00320074,NAME,h_phi_diff_cpBcorr_6_8
eta,CLUSRAW,,2,6,8,55782,-1.37961e-05,0.00400517,NAME,h_eta_diff_cpRaw_6_8
eta,CLUSCP,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
eta,CLUSCP_EA,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8
eta,CLUSCP_EA_EandIncident,,2,6,8,55782,-1.71397e-05,0.00381895,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_6_8
eta,CLUSCP_EA_vzEtaDep,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_6_8
eta,CLUScpDirectBvals,,2,6,8,55782,-2.55021e-05,0.0033173,NAME,h_eta_diff_cpBcorr_6_8
phi,PDCraw,,3,8,10,58343,-0.000971752,0.00405171,XAXIS,h_phi_diff_raw_8_10
eta,PDCraw,,3,8,10,58343,-2.32517e-05,0.00393138,XAXIS,h_eta_diff_raw_8_10
phi,PDCcor,,3,8,10,58343,-0.000461074,0.00318819,XAXIS,h_phi_diff_corr_8_10
eta,PDCcor,,3,8,10,58343,-3.89013e-05,0.00318977,XAXIS,h_eta_diff_corr_8_10
phi,CLUSRAW,,3,8,10,58343,-0.000899647,0.00414167,NAME,h_phi_diff_cpRaw_8_10
phi,CLUSCP,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorr_8_10
phi,CLUSCP_EA_etaDep,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorrEA_fitEtaDep_8_10
phi,CLUSCP_EA,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_8_10
phi,CLUSCP_EA_EandIncident,,3,8,10,58343,-0.000755407,0.00381322,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_8_10
phi,CLUSCP_EA_vzEtaDep,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_8_10
phi,CLUScpDirectBvals,,3,8,10,58343,-0.000358711,0.00329418,NAME,h_phi_diff_cpBcorr_8_10
eta,CLUSRAW,,3,8,10,58343,-2.77626e-05,0.00399033,NAME,h_eta_diff_cpRaw_8_10
eta,CLUSCP,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorr_8_10
eta,CLUSCP_EA_etaDep,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorrEA_fitEtaDep_8_10
eta,CLUSCP_EA,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_8_10
eta,CLUSCP_EA_EandIncident,,3,8,10,58343,-3.195e-05,0.00379673,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_8_10
eta,CLUSCP_EA_vzEtaDep,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_8_10
eta,CLUScpDirectBvals,,3,8,10,58343,-5.10145e-05,0.00324405,NAME,h_eta_diff_cpBcorr_8_10
