variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,8.82652e-06,2.86358e-05,0.00427968,2.02485e-05
CLUSRAW,5,1.23559e-05,2.70515e-05,0.00413499,1.91283e-05
CLUSRAW,7,-6.26921e-06,2.50533e-05,0.0040133,1.77154e-05
CLUSRAW,9,-3.31372e-05,2.44852e-05,0.00400136,1.73137e-05
CLUSRAW,11,-4.41858e-05,2.40376e-05,0.00396693,1.69971e-05
CLUSRAW,13.5,2.84772e-06,1.93769e-05,0.00393843,1.37016e-05
CLUSRAW,17.5,-8.71395e-06,1.48107e-05,0.00388012,1.04727e-05
CLUSRAW,25,-3.50399e-05,1.01035e-05,0.00376388,7.14428e-06
CLUSCP,3,-3.13357e-05,2.76993e-05,0.00413972,1.95863e-05
CLUSCP,5,-9.08488e-06,2.46257e-05,0.00376419,1.7413e-05
CLUSCP,7,-2.84045e-05,2.18581e-05,0.00350146,1.5456e-05
CLUSCP,9,-5.40028e-05,2.10016e-05,0.00343207,1.48503e-05
CLUSCP,11,-5.40551e-05,2.03597e-05,0.00335998,1.43965e-05
CLUSCP,13.5,-2.55291e-05,1.6179e-05,0.00328844,1.14403e-05
CLUSCP,17.5,-1.5251e-05,1.22736e-05,0.00321545,8.67874e-06
CLUSCP,25,-4.08375e-05,8.13808e-06,0.00303168,5.75449e-06
CLUSCP_EA,3,-2.09479e-05,2.62416e-05,0.00392187,1.85556e-05
CLUSCP_EA,5,-2.19725e-06,2.34961e-05,0.00359152,1.66142e-05
CLUSCP_EA,7,-2.349e-05,2.09758e-05,0.00336013,1.48322e-05
CLUSCP_EA,9,-4.92805e-05,2.02185e-05,0.0033041,1.42966e-05
CLUSCP_EA,11,-4.97735e-05,1.96369e-05,0.00324068,1.38854e-05
CLUSCP_EA,13.5,-1.83807e-05,1.56371e-05,0.0031783,1.10571e-05
CLUSCP_EA,17.5,-1.41011e-05,1.18573e-05,0.00310638,8.38437e-06
CLUSCP_EA,25,-3.92085e-05,7.87234e-06,0.00293269,5.56659e-06
CLUSCP_EA_vzDep,3,-2.14249e-05,2.6243e-05,0.00392208,1.85566e-05
CLUSCP_EA_vzDep,5,-2.29128e-06,2.34983e-05,0.00359186,1.66158e-05
CLUSCP_EA_vzDep,7,-2.35512e-05,2.09767e-05,0.00336027,1.48328e-05
CLUSCP_EA_vzDep,9,-4.92202e-05,2.02189e-05,0.00330417,1.4297e-05
CLUSCP_EA_vzDep,11,-4.98343e-05,1.96378e-05,0.00324084,1.3886e-05
CLUSCP_EA_vzDep,13.5,-1.84936e-05,1.56389e-05,0.00317867,1.10584e-05
CLUSCP_EA_vzDep,17.5,-1.41328e-05,1.18575e-05,0.00310645,8.38455e-06
CLUSCP_EA_vzDep,25,-3.92004e-05,7.87256e-06,0.00293277,5.56674e-06
CLUSCP_EA_etaDep,3,-2.00148e-05,2.61648e-05,0.00391038,1.85013e-05
CLUSCP_EA_etaDep,5,-5.36937e-07,2.3415e-05,0.00357913,1.65569e-05
CLUSCP_EA_etaDep,7,-2.10276e-05,2.08999e-05,0.00334796,1.47784e-05
CLUSCP_EA_etaDep,9,-4.6419e-05,2.01427e-05,0.00329171,1.4243e-05
CLUSCP_EA_etaDep,11,-4.9706e-05,1.95486e-05,0.00322611,1.38229e-05
CLUSCP_EA_etaDep,13.5,-1.71245e-05,1.55558e-05,0.00316178,1.09996e-05
CLUSCP_EA_etaDep,17.5,-1.36644e-05,1.17894e-05,0.0030886,8.33638e-06
CLUSCP_EA_etaDep,25,-3.90519e-05,7.81485e-06,0.00291127,5.52594e-06
CLUSCP_EA_vzEtaDep,3,-2.09781e-05,2.61806e-05,0.00391276,1.85125e-05
CLUSCP_EA_vzEtaDep,5,-7.24304e-07,2.34435e-05,0.00358348,1.65771e-05
CLUSCP_EA_vzEtaDep,7,-2.12296e-05,2.09317e-05,0.00335306,1.4801e-05
CLUSCP_EA_vzEtaDep,9,-4.66548e-05,2.01754e-05,0.00329706,1.42662e-05
CLUSCP_EA_vzEtaDep,11,-5.03507e-05,1.95892e-05,0.00323281,1.38516e-05
CLUSCP_EA_vzEtaDep,13.5,-1.74266e-05,1.55928e-05,0.00316929,1.10258e-05
