variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,-0.00179166,1.92316e-05,0.00426786,1.35988e-05
CLUSRAW,5,-0.00132001,1.82564e-05,0.00414054,1.29092e-05
CLUSRAW,7,-0.00108873,1.71706e-05,0.0040554,1.21415e-05
CLUSRAW,9,-0.000899647,1.71467e-05,0.00414167,1.21246e-05
CLUSRAW,11,-0.000682021,1.75207e-05,0.00425678,1.2389e-05
CLUSRAW,13.5,-0.000483958,1.46277e-05,0.00435272,1.03433e-05
CLUSRAW,17.5,-0.000225891,1.12797e-05,0.00434177,7.97596e-06
CLUSRAW,25,-6.5481e-05,7.34857e-06,0.00402367,5.19622e-06
CLUSCP,3,-0.00111611,1.68141e-05,0.00373136,1.18893e-05
CLUSCP,5,-0.000628073,1.45883e-05,0.00330862,1.03155e-05
CLUSCP,7,-0.000396707,1.32464e-05,0.00312857,9.36664e-06
CLUSCP,9,-0.000209987,1.3342e-05,0.00322268,9.43425e-06
CLUSCP,11,-2.50153e-05,1.38808e-05,0.00337242,9.81518e-06
CLUSCP,13.5,0.000179921,1.18388e-05,0.00352284,8.3713e-06
CLUSCP,17.5,0.000403728,8.91842e-06,0.00343286,6.30628e-06
CLUSCP,25,0.000598257,5.38683e-06,0.00294953,3.80906e-06
CLUSCP_EA,3,-0.00111611,1.68141e-05,0.00373136,1.18893e-05
CLUSCP_EA,5,-0.000628073,1.45883e-05,0.00330862,1.03155e-05
CLUSCP_EA,7,-0.000396707,1.32464e-05,0.00312857,9.36664e-06
CLUSCP_EA,9,-0.000209987,1.3342e-05,0.00322268,9.43425e-06
CLUSCP_EA,11,-2.50154e-05,1.38808e-05,0.00337242,9.81518e-06
CLUSCP_EA,13.5,0.000179921,1.18388e-05,0.00352284,8.3713e-06
CLUSCP_EA,17.5,0.000403728,8.91842e-06,0.00343286,6.30628e-06
CLUSCP_EA,25,0.000598257,5.38683e-06,0.00294953,3.80906e-06
CLUSCP_EA_etaDep,3,-0.00111611,1.68141e-05,0.00373136,1.18893e-05
CLUSCP_EA_etaDep,5,-0.000628073,1.45883e-05,0.00330862,1.03155e-05
CLUSCP_EA_etaDep,7,-0.000396707,1.32464e-05,0.00312857,9.36664e-06
CLUSCP_EA_etaDep,9,-0.000209987,1.3342e-05,0.00322268,9.43425e-06
CLUSCP_EA_etaDep,11,-2.50154e-05,1.38808e-05,0.00337242,9.81518e-06
CLUSCP_EA_etaDep,13.5,0.000179921,1.18388e-05,0.00352284,8.3713e-06
CLUSCP_EA_etaDep,17.5,0.000403728,8.91842e-06,0.00343286,6.30628e-06
CLUSCP_EA_etaDep,25,0.000598257,5.38683e-06,0.00294953,3.80906e-06
CLUSCP_EA_vzEtaDep,3,-0.00111611,1.68141e-05,0.00373136,1.18893e-05
CLUSCP_EA_vzEtaDep,5,-0.000628073,1.45883e-05,0.00330862,1.03155e-05
CLUSCP_EA_vzEtaDep,7,-0.000396707,1.32464e-05,0.00312857,9.36664e-06
CLUSCP_EA_vzEtaDep,9,-0.000209987,1.3342e-05,0.00322268,9.43425e-06
CLUSCP_EA_vzEtaDep,11,-2.50154e-05,1.38808e-05,0.00337242,9.81518e-06
CLUSCP_EA_vzEtaDep,13.5,0.000179921,1.18388e-05,0.00352284,8.3713e-06
CLUSCP_EA_vzEtaDep,17.5,0.000403728,8.91842e-06,0.00343286,6.30628e-06
CLUSCP_EA_vzEtaDep,25,0.000598257,5.38683e-06,0.00294953,3.80906e-06
CLUSCP_EA_EandIncident,3,-0.00165403,1.78907e-05,0.00397028,1.26506e-05
CLUSCP_EA_EandIncident,5,-0.00117711,1.67603e-05,0.00380123,1.18513e-05
CLUSCP_EA_EandIncident,7,-0.000958844,1.57206e-05,0.00371292,1.11161e-05
CLUSCP_EA_EandIncident,9,-0.000755407,1.57869e-05,0.00381322,1.1163e-05
CLUSCP_EA_EandIncident,11,-0.000551429,1.62375e-05,0.00394501,1.14816e-05
CLUSCP_EA_EandIncident,13.5,-0.000340553,1.36292e-05,0.00405561,9.63732e-06
CLUSCP_EA_EandIncident,17.5,-9.09704e-05,1.04707e-05,0.00403035,7.40389e-06
CLUSCP_EA_EandIncident,25,7.35859e-05,6.72849e-06,0.00368415,4.75776e-06
PDCraw,3,-0.00187204,1.88877e-05,0.00419154,1.33556e-05
PDCraw,5,-0.00140405,1.7778e-05,0.00403199,1.25709e-05
PDCraw,7,-0.00118301,1.67744e-05,0.00396181,1.18613e-05
PDCraw,9,-0.000971752,1.67743e-05,0.00405171,1.18612e-05
PDCraw,11,-0.000763188,1.71411e-05,0.00416456,1.21206e-05
PDCraw,13.5,-0.00055187,1.42679e-05,0.00424564,1.00889e-05
PDCraw,17.5,-0.000309792,1.09667e-05,0.00422128,7.75463e-06
PDCraw,25,-0.000132305,7.16422e-06,0.00392273,5.06587e-06
PDCcor,3,-0.00140472,1.62693e-05,0.00361047,1.15042e-05
PDCcor,5,-0.000885327,1.41977e-05,0.00322003,1.00393e-05
PDCcor,7,-0.000648346,1.29722e-05,0.00306379,9.17271e-06
PDCcor,9,-0.000461074,1.31993e-05,0.00318819,9.33328e-06
PDCcor,11,-0.00026227,1.37925e-05,0.00335099,9.75279e-06
PDCcor,13.5,-4.76538e-05,1.17086e-05,0.00348409,8.27922e-06
PDCcor,17.5,0.000183338,8.828e-06,0.00339806,6.24234e-06
PDCcor,25,0.000387162,5.33268e-06,0.00291988,3.77077e-06
CLUScpDirectBvals,3,-0.00130969,1.66411e-05,0.00369297,1.1767e-05
CLUScpDirectBvals,5,-0.000785805,1.47849e-05,0.0033532,1.04545e-05
CLUScpDirectBvals,7,-0.000542043,1.3552e-05,0.00320074,9.58271e-06
CLUScpDirectBvals,9,-0.000358711,1.36381e-05,0.00329418,9.64357e-06
CLUScpDirectBvals,11,-0.000163932,1.42642e-05,0.00346559,1.00863e-05
CLUScpDirectBvals,13.5,5.66116e-05,1.21281e-05,0.00360891,8.57584e-06
CLUScpDirectBvals,17.5,0.000284126,9.20396e-06,0.00354277,6.50818e-06
CLUScpDirectBvals,25,0.000465872,5.60078e-06,0.00306668,3.96035e-06
