variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,-0.000222267,8.36655e-06,0.00435744,5.91604e-06
CLUSRAW,5,-9.01871e-05,8.02111e-06,0.00422839,5.67178e-06
CLUSRAW,7,-7.47119e-05,7.71836e-06,0.00418309,5.45771e-06
CLUSRAW,9,-9.9203e-05,7.74817e-06,0.00426057,5.47878e-06
CLUSRAW,11,-4.76352e-05,7.90573e-06,0.00435914,5.5902e-06
CLUSRAW,13.5,2.5287e-05,6.5893e-06,0.00442973,4.65934e-06
CLUSRAW,17.5,8.0007e-05,5.04207e-06,0.00436784,3.56528e-06
CLUSRAW,25,-3.6861e-05,3.29439e-06,0.00403345,2.32949e-06
CLUSCP,3,-0.000136558,7.39494e-06,0.00385141,5.22901e-06
CLUSCP,5,1.77654e-06,6.51021e-06,0.00343191,4.60341e-06
CLUSCP,7,2.51462e-05,6.03103e-06,0.00326861,4.26458e-06
CLUSCP,9,-4.70184e-06,6.11488e-06,0.00336245,4.32387e-06
CLUSCP,11,2.69223e-05,6.34887e-06,0.0035007,4.48933e-06
CLUSCP,13.5,0.000114025,5.30989e-06,0.00356963,3.75466e-06
CLUSCP,17.5,0.000141438,3.95555e-06,0.00342661,2.797e-06
CLUSCP,25,1.82177e-05,2.42012e-06,0.00296304,1.71128e-06
CLUSCP_EA,3,-0.000132257,7.15571e-06,0.00372681,5.05985e-06
CLUSCP_EA,5,5.12616e-07,6.36136e-06,0.00335344,4.49816e-06
CLUSCP_EA,7,1.8659e-05,5.93377e-06,0.0032159,4.19581e-06
CLUSCP_EA,9,-1.32799e-05,6.03896e-06,0.00332071,4.27019e-06
CLUSCP_EA,11,1.78899e-05,6.29164e-06,0.00346914,4.44886e-06
CLUSCP_EA,13.5,0.000108835,5.28071e-06,0.00355001,3.73403e-06
CLUSCP_EA,17.5,0.000141176,3.94209e-06,0.00341495,2.78748e-06
CLUSCP_EA,25,1.06521e-05,2.40533e-06,0.00294493,1.70082e-06
CLUSCP_EA_vzDep,3,-0.00013157,7.15493e-06,0.00372641,5.0593e-06
CLUSCP_EA_vzDep,5,1.06135e-06,6.35964e-06,0.00335253,4.49695e-06
CLUSCP_EA_vzDep,7,1.87825e-05,5.93225e-06,0.00321508,4.19474e-06
CLUSCP_EA_vzDep,9,-1.27164e-05,6.03751e-06,0.00331991,4.26916e-06
CLUSCP_EA_vzDep,11,1.7703e-05,6.29048e-06,0.0034685,4.44804e-06
CLUSCP_EA_vzDep,13.5,0.000107979,5.27939e-06,0.00354912,3.73309e-06
CLUSCP_EA_vzDep,17.5,0.000141342,3.94095e-06,0.00341396,2.78667e-06
CLUSCP_EA_vzDep,25,1.05241e-05,2.40454e-06,0.00294398,1.70027e-06
CLUSCP_EA_etaDep,3,-0.00013232,7.15012e-06,0.0037239,5.0559e-06
CLUSCP_EA_etaDep,5,4.36455e-07,6.35867e-06,0.00335202,4.49626e-06
CLUSCP_EA_etaDep,7,1.80515e-05,5.93178e-06,0.00321482,4.1944e-06
CLUSCP_EA_etaDep,9,-1.38834e-05,6.03688e-06,0.00331957,4.26872e-06
CLUSCP_EA_etaDep,11,1.77233e-05,6.28978e-06,0.00346812,4.44755e-06
CLUSCP_EA_etaDep,13.5,0.000108719,5.27909e-06,0.00354892,3.73288e-06
CLUSCP_EA_etaDep,17.5,0.000141533,3.94056e-06,0.00341362,2.7864e-06
CLUSCP_EA_etaDep,25,1.08241e-05,2.40386e-06,0.00294314,1.69978e-06
CLUSCP_EA_vzEtaDep,3,-0.00013111,7.14812e-06,0.00372286,5.05448e-06
CLUSCP_EA_vzEtaDep,5,9.04054e-07,6.35534e-06,0.00335026,4.4939e-06
CLUSCP_EA_vzEtaDep,7,1.83755e-05,5.92854e-06,0.00321306,4.19211e-06
CLUSCP_EA_vzEtaDep,9,-1.30348e-05,6.03383e-06,0.00331789,4.26657e-06
CLUSCP_EA_vzEtaDep,11,1.77156e-05,6.28759e-06,0.00346691,4.446e-06
CLUSCP_EA_vzEtaDep,13.5,0.000108459,5.2774e-06,0.00354778,3.73168e-06
CLUSCP_EA_vzEtaDep,17.5,0.000142119,3.93968e-06,0.00341286,2.78577e-06
CLUSCP_EA_vzEtaDep,25,1.04973e-05,2.403e-06,0.00294209,1.69918e-06
CLUSCP_EA_EandIncident,3,-0.000135835,7.13816e-06,0.00371767,5.04744e-06
CLUSCP_EA_EandIncident,5,-2.99733e-06,6.3518e-06,0.0033484,4.4914e-06
CLUSCP_EA_EandIncident,7,1.26171e-05,5.92949e-06,0.00321358,4.19279e-06
CLUSCP_EA_EandIncident,9,-1.86266e-05,6.03548e-06,0.0033188,4.26773e-06
CLUSCP_EA_EandIncident,11,1.10517e-05,6.28955e-06,0.00346799,4.44738e-06
