KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,222483,2.96704e-05,0.00685284,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,222483,-2.93022e-05,0.0156439,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,222483,2.19868e-05,0.00689974,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,222483,-3.37657e-05,0.0151671,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,222483,5.29724e-05,0.00683058,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,222483,1.50185e-05,0.00689619,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_vzDep,,0,2,4,222483,6.15627e-06,0.00687781,NAME,h_phi_diff_cpCorrEA_geom_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,222483,4.20644e-06,0.00687643,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,222483,5.80992e-06,0.00687722,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_mixed,,0,2,4,222483,7.26661e-06,0.00687596,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,222483,2.31257e-05,0.00687238,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,222483,1.55895e-06,0.0156726,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,222483,3.0924e-06,0.015179,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_vzDep,,0,2,4,222483,-1.11034e-06,0.015297,NAME,h_eta_diff_cpCorrEA_geom_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,222483,2.91346e-06,0.0152479,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
