variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,1.55895e-06,3.3227e-05,0.0156726,2.3495e-05
CLUSRAW,5,4.5405e-05,2.82083e-05,0.0123326,1.99462e-05
CLUSRAW,7,5.23796e-05,2.70464e-05,0.00956527,1.91247e-05
CLUSRAW,9,6.53153e-05,2.38166e-05,0.00757103,1.68409e-05
CLUSRAW,11,5.17693e-06,2.00297e-05,0.00623404,1.41632e-05
CLUSRAW,13.5,8.39747e-06,1.3322e-05,0.00525841,9.42011e-06
CLUSRAW,17.5,4.70036e-06,8.27088e-06,0.00452339,5.8484e-06
CLUSRAW,25,1.51655e-05,4.7917e-06,0.00406642,3.38824e-06
CLUSCP,3,3.0924e-06,3.21807e-05,0.015179,2.27552e-05
CLUSCP,5,7.42313e-05,2.70054e-05,0.0118067,1.90957e-05
CLUSCP,7,7.99032e-05,2.58004e-05,0.0091246,1.82437e-05
CLUSCP,9,9.64883e-05,2.29152e-05,0.00728448,1.62035e-05
CLUSCP,11,4.42829e-05,1.96303e-05,0.00610974,1.38807e-05
CLUSCP,13.5,2.20602e-05,1.3294e-05,0.00524733,9.40025e-06
CLUSCP,17.5,1.39554e-05,8.28198e-06,0.00452946,5.85625e-06
CLUSCP,25,1.88832e-05,4.5958e-06,0.00390017,3.24972e-06
CLUSCP_EA,3,3.45461e-06,3.231e-05,0.01524,2.28466e-05
CLUSCP_EA,5,6.78044e-05,2.7107e-05,0.0118511,1.91675e-05
CLUSCP_EA,7,7.2226e-05,2.58107e-05,0.00912823,1.82509e-05
CLUSCP_EA,9,8.93228e-05,2.27476e-05,0.0072312,1.6085e-05
CLUSCP_EA,11,3.52858e-05,1.92826e-05,0.00600149,1.36348e-05
CLUSCP_EA,13.5,1.93733e-05,1.29032e-05,0.00509308,9.12392e-06
CLUSCP_EA,17.5,1.28752e-05,7.93107e-06,0.00433754,5.60811e-06
CLUSCP_EA,25,1.95244e-05,4.37531e-06,0.00371306,3.09381e-06
CLUSCP_EA_vzDep,3,-1.11034e-06,3.24308e-05,0.015297,2.29321e-05
CLUSCP_EA_vzDep,5,6.05715e-05,2.72618e-05,0.0119188,1.9277e-05
CLUSCP_EA_vzDep,7,6.36824e-05,2.59423e-05,0.00917479,1.8344e-05
CLUSCP_EA_vzDep,9,7.84084e-05,2.27963e-05,0.00724667,1.61194e-05
CLUSCP_EA_vzDep,11,2.45402e-05,1.92238e-05,0.00598319,1.35933e-05
CLUSCP_EA_vzDep,13.5,1.39004e-05,1.27873e-05,0.00504736,9.04202e-06
CLUSCP_EA_vzDep,17.5,9.4911e-06,7.81395e-06,0.00427349,5.52529e-06
CLUSCP_EA_vzDep,25,1.83379e-05,4.30389e-06,0.00365244,3.04331e-06
CLUSCP_EA_etaDep,3,2.91346e-06,3.23266e-05,0.0152479,2.28584e-05
CLUSCP_EA_etaDep,5,6.716e-05,2.71268e-05,0.0118598,1.91815e-05
CLUSCP_EA_etaDep,7,7.15591e-05,2.5831e-05,0.00913542,1.82653e-05
CLUSCP_EA_etaDep,9,8.79929e-05,2.27558e-05,0.00723379,1.60908e-05
CLUSCP_EA_etaDep,11,3.33324e-05,1.92673e-05,0.00599675,1.3624e-05
CLUSCP_EA_etaDep,13.5,1.7717e-05,1.28771e-05,0.00508279,9.10549e-06
CLUSCP_EA_etaDep,17.5,1.27248e-05,7.90533e-06,0.00432346,5.58991e-06
CLUSCP_EA_etaDep,25,1.98538e-05,4.36242e-06,0.00370211,3.08469e-06
PDCraw,3,-2.93022e-05,3.31663e-05,0.0156439,2.34521e-05
PDCraw,5,9.5072e-06,2.80879e-05,0.01228,1.98611e-05
PDCraw,7,-6.98545e-06,2.68458e-05,0.00949432,1.89829e-05
PDCraw,9,9.23206e-06,2.35947e-05,0.00750049,1.6684e-05
PDCraw,11,-5.10976e-05,1.98612e-05,0.00618159,1.4044e-05
PDCraw,13.5,-2.81369e-05,1.32309e-05,0.00522245,9.35568e-06
PDCraw,17.5,-1.64931e-05,8.21085e-06,0.00449055,5.80595e-06
PDCraw,25,-5.24036e-06,4.74228e-06,0.00402447,3.3533e-06
PDCcor,3,-3.37657e-05,3.21555e-05,0.0151671,2.27374e-05
PDCcor,5,1.45168e-05,2.68734e-05,0.011749,1.90023e-05
PDCcor,7,-8.46693e-06,2.54311e-05,0.008994,1.79825e-05
PDCcor,9,9.9288e-06,2.22796e-05,0.00708243,1.57541e-05
PDCcor,11,-3.74257e-05,1.88136e-05,0.00585555,1.33033e-05
PDCcor,13.5,-2.92935e-05,1.25603e-05,0.00495773,8.88146e-06
PDCcor,17.5,-1.67166e-05,7.68676e-06,0.00420393,5.43536e-06
PDCcor,25,-7.46441e-06,4.19952e-06,0.00356387,2.96951e-06
