variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,5.29724e-05,1.44814e-05,0.00683058,1.02399e-05
CLUSRAW,5,0.000102339,1.6376e-05,0.00715955,1.15796e-05
CLUSRAW,7,0.000216691,1.87446e-05,0.00662925,1.32545e-05
CLUSRAW,9,0.00023083,1.81311e-05,0.00576367,1.28206e-05
CLUSRAW,11,0.000255299,1.63874e-05,0.00510042,1.15877e-05
CLUSRAW,13.5,0.00027842,1.19039e-05,0.00469864,8.41731e-06
CLUSRAW,17.5,0.000194724,7.91595e-06,0.00432927,5.59742e-06
CLUSRAW,25,-6.33985e-05,4.53377e-06,0.00384753,3.20586e-06
CLUSCP,3,1.50185e-05,1.46205e-05,0.00689619,1.03382e-05
CLUSCP,5,0.000214807,1.66293e-05,0.00727029,1.17587e-05
CLUSCP,7,0.000396856,1.82271e-05,0.0064462,1.28885e-05
CLUSCP,9,0.000322776,1.69853e-05,0.00539944,1.20104e-05
CLUSCP,11,0.000279055,1.53493e-05,0.00477732,1.08536e-05
CLUSCP,13.5,0.000230698,1.128e-05,0.00445237,7.97614e-06
CLUSCP,17.5,0.000128547,7.46671e-06,0.00408358,5.27976e-06
CLUSCP,25,-0.000137502,4.08947e-06,0.00347048,2.89169e-06
CLUSCP_EA,3,5.80992e-06,1.45802e-05,0.00687722,1.03098e-05
CLUSCP_EA,5,0.000194161,1.66017e-05,0.00725825,1.17392e-05
CLUSCP_EA,7,0.00039761,1.82384e-05,0.00645022,1.28965e-05
CLUSCP_EA,9,0.000326177,1.69598e-05,0.00539131,1.19924e-05
CLUSCP_EA,11,0.000290762,1.52102e-05,0.004734,1.07552e-05
CLUSCP_EA,13.5,0.000238912,1.11126e-05,0.00438633,7.85783e-06
CLUSCP_EA,17.5,0.000138474,7.31154e-06,0.00399872,5.17004e-06
CLUSCP_EA,25,-0.000134947,3.97341e-06,0.00337199,2.80962e-06
CLUSCP_EA_vzDep,3,6.15627e-06,1.45815e-05,0.00687781,1.03107e-05
CLUSCP_EA_vzDep,5,0.000194356,1.66039e-05,0.00725919,1.17407e-05
CLUSCP_EA_vzDep,7,0.000404686,1.82363e-05,0.00644945,1.2895e-05
CLUSCP_EA_vzDep,9,0.000329675,1.69545e-05,0.00538965,1.19887e-05
CLUSCP_EA_vzDep,11,0.000293584,1.52109e-05,0.00473424,1.07558e-05
CLUSCP_EA_vzDep,13.5,0.000242703,1.11151e-05,0.0043873,7.85956e-06
CLUSCP_EA_vzDep,17.5,0.000145143,7.31477e-06,0.00400049,5.17233e-06
CLUSCP_EA_vzDep,25,-0.000128881,3.9767e-06,0.00337478,2.81195e-06
CLUSCP_EA_etaDep,3,4.20644e-06,1.45786e-05,0.00687643,1.03086e-05
CLUSCP_EA_etaDep,5,0.000190326,1.66018e-05,0.00725826,1.17392e-05
CLUSCP_EA_etaDep,7,0.000397526,1.82422e-05,0.00645157,1.28992e-05
CLUSCP_EA_etaDep,9,0.000327845,1.69556e-05,0.00538998,1.19894e-05
CLUSCP_EA_etaDep,11,0.000290488,1.5201e-05,0.00473114,1.07487e-05
CLUSCP_EA_etaDep,13.5,0.000241088,1.11047e-05,0.00438318,7.85219e-06
CLUSCP_EA_etaDep,17.5,0.000141442,7.30641e-06,0.00399591,5.16641e-06
CLUSCP_EA_etaDep,25,-0.000132105,3.97126e-06,0.00337016,2.80811e-06
PDCraw,3,2.96704e-05,1.45285e-05,0.00685284,1.02732e-05
PDCraw,5,0.000110055,1.63439e-05,0.00714551,1.15569e-05
PDCraw,7,0.000244589,1.8598e-05,0.00657739,1.31508e-05
PDCraw,9,0.000274163,1.78469e-05,0.00567331,1.26196e-05
PDCraw,11,0.000261825,1.5999e-05,0.00497952,1.1313e-05
PDCraw,13.5,0.00022909,1.14639e-05,0.00452498,8.10621e-06
PDCraw,17.5,0.000138201,7.56425e-06,0.00413693,5.34873e-06
PDCraw,25,-8.36401e-05,4.35179e-06,0.00369309,3.07718e-06
PDCcor,3,2.19868e-05,1.4628e-05,0.00689974,1.03435e-05
PDCcor,5,0.000193605,1.6596e-05,0.00725573,1.17351e-05
PDCcor,7,0.000393019,1.81155e-05,0.00640674,1.28096e-05
PDCcor,9,0.000305917,1.67116e-05,0.00531241,1.18169e-05
PDCcor,11,0.000222866,1.49044e-05,0.00463882,1.0539e-05
PDCcor,13.5,0.000164164,1.0814e-05,0.00426845,7.64666e-06
PDCcor,17.5,8.73326e-05,7.10673e-06,0.00388671,5.02522e-06
PDCcor,25,-0.000143225,3.88255e-06,0.00329488,2.74538e-06
CLUScpDirectBvals,3,2.31257e-05,1.457e-05,0.00687238,1.03025e-05
CLUScpDirectBvals,5,0.000187978,1.66152e-05,0.00726415,1.17487e-05
CLUScpDirectBvals,7,0.000365231,1.83192e-05,0.00647877,1.29536e-05
CLUScpDirectBvals,9,0.00029411,1.7066e-05,0.00542509,1.20675e-05
CLUScpDirectBvals,11,0.000270889,1.53502e-05,0.00477758,1.08542e-05
CLUScpDirectBvals,13.5,0.000261633,1.12645e-05,0.00444625,7.96517e-06
CLUScpDirectBvals,17.5,0.000161425,7.47119e-06,0.00408603,5.28293e-06
CLUScpDirectBvals,25,-0.000120593,4.11446e-06,0.00349169,2.90936e-06
CLUSCP_EA_mixed,3,7.26661e-06,1.45776e-05,0.00687596,1.03079e-05
CLUSCP_EA_mixed,5,0.000191048,1.65994e-05,0.00725724,1.17376e-05
CLUSCP_EA_mixed,7,0.000401181,1.82394e-05,0.00645058,1.28972e-05
CLUSCP_EA_mixed,9,0.000325452,1.69594e-05,0.0053912,1.19921e-05
