series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,5.27568e-05,1.44983e-05,0.00683857,1.02518e-05
0,no corr, cluster,phi,5,0.000102991,1.63955e-05,0.00716809,1.15934e-05
0,no corr, cluster,phi,7,0.000217868,1.87673e-05,0.00663727,1.32705e-05
0,no corr, cluster,phi,9,0.000229884,1.8158e-05,0.00577223,1.28397e-05
0,no corr, cluster,phi,11,0.000254754,1.64223e-05,0.00511127,1.16123e-05
0,no corr, cluster,phi,13.5,0.000278241,1.19277e-05,0.00470805,8.43417e-06
0,no corr, cluster,phi,17.5,0.000194285,7.93595e-06,0.00434021,5.61156e-06
0,no corr, cluster,phi,25,-6.33864e-05,4.54777e-06,0.00385941,3.21576e-06
1,CorrectPosition, cluster,phi,3,1.38505e-05,1.46367e-05,0.00690387,1.03497e-05
1,CorrectPosition, cluster,phi,5,0.000215186,1.6651e-05,0.00727979,1.17741e-05
1,CorrectPosition, cluster,phi,7,0.000397183,1.82536e-05,0.0064556,1.29073e-05
1,CorrectPosition, cluster,phi,9,0.000322697,1.70148e-05,0.0054088,1.20313e-05
1,CorrectPosition, cluster,phi,11,0.000278518,1.53796e-05,0.00478674,1.0875e-05
1,CorrectPosition, cluster,phi,13.5,0.000232041,1.13098e-05,0.00446415,7.99725e-06
1,CorrectPosition, cluster,phi,17.5,0.00012893,7.48728e-06,0.00409483,5.29431e-06
1,CorrectPosition, cluster,phi,25,-0.000137606,4.10372e-06,0.00348257,2.90177e-06
2,no corr, cluster,eta,3,1.4791e-06,3.32209e-05,0.0156679,2.34907e-05
2,no corr, cluster,eta,5,4.67675e-05,2.81994e-05,0.0123275,1.994e-05
2,no corr, cluster,eta,7,5.19309e-05,2.70559e-05,0.00956839,1.91314e-05
2,no corr, cluster,eta,9,6.53073e-05,2.38368e-05,0.00757744,1.68552e-05
2,no corr, cluster,eta,11,4.81057e-06,2.0051e-05,0.00624067,1.41782e-05
2,no corr, cluster,eta,13.5,8.20282e-06,1.33428e-05,0.0052666,9.43478e-06
2,no corr, cluster,eta,17.5,4.8829e-06,8.28772e-06,0.00453259,5.8603e-06
2,no corr, cluster,eta,25,1.55252e-05,4.80435e-06,0.00407715,3.39719e-06
3,CorrectPosition, cluster,eta,3,3.08345e-06,3.21855e-05,0.0151811,2.27586e-05
3,CorrectPosition, cluster,eta,5,7.34668e-05,2.7011e-05,0.0118089,1.90997e-05
3,CorrectPosition, cluster,eta,7,7.96728e-05,2.5808e-05,0.0091272,1.8249e-05
3,CorrectPosition, cluster,eta,9,9.57963e-05,2.29326e-05,0.00729001,1.62158e-05
3,CorrectPosition, cluster,eta,11,4.345e-05,1.96477e-05,0.00611514,1.3893e-05
3,CorrectPosition, cluster,eta,13.5,2.1932e-05,1.33161e-05,0.00525606,9.41589e-06
3,CorrectPosition, cluster,eta,17.5,1.4652e-05,8.29938e-06,0.00453897,5.86855e-06
3,CorrectPosition, cluster,eta,25,1.86979e-05,4.60837e-06,0.00391083,3.25861e-06
