series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,eta,3,1.4791e-06,3.32209e-05,0.0156679,2.34907e-05
0,no corr, cluster,eta,5,4.67675e-05,2.81994e-05,0.0123275,1.994e-05
0,no corr, cluster,eta,7,5.19309e-05,2.70559e-05,0.00956839,1.91314e-05
0,no corr, cluster,eta,9,6.53073e-05,2.38368e-05,0.00757744,1.68552e-05
0,no corr, cluster,eta,11,4.81057e-06,2.0051e-05,0.00624067,1.41782e-05
0,no corr, cluster,eta,13.5,8.20282e-06,1.33428e-05,0.0052666,9.43478e-06
0,no corr, cluster,eta,17.5,4.8829e-06,8.28772e-06,0.00453259,5.8603e-06
0,no corr, cluster,eta,25,1.55252e-05,4.80435e-06,0.00407715,3.39719e-06
1,CorrectPosition, cluster,eta,3,3.08345e-06,3.21855e-05,0.0151811,2.27586e-05
1,CorrectPosition, cluster,eta,5,7.34668e-05,2.7011e-05,0.0118089,1.90997e-05
1,CorrectPosition, cluster,eta,7,7.96728e-05,2.5808e-05,0.0091272,1.8249e-05
1,CorrectPosition, cluster,eta,9,9.57963e-05,2.29326e-05,0.00729001,1.62158e-05
1,CorrectPosition, cluster,eta,11,4.345e-05,1.96477e-05,0.00611514,1.3893e-05
1,CorrectPosition, cluster,eta,13.5,2.1932e-05,1.33161e-05,0.00525606,9.41589e-06
1,CorrectPosition, cluster,eta,17.5,1.4652e-05,8.29938e-06,0.00453897,5.86855e-06
1,CorrectPosition, cluster,eta,25,1.86979e-05,4.60837e-06,0.00391083,3.25861e-06
