series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,5.27568e-05,1.44983e-05,0.00683857,1.02518e-05
0,no corr, cluster,phi,5,0.000102991,1.63955e-05,0.00716809,1.15934e-05
0,no corr, cluster,phi,7,0.000217868,1.87673e-05,0.00663727,1.32705e-05
0,no corr, cluster,phi,9,0.000229884,1.8158e-05,0.00577223,1.28397e-05
0,no corr, cluster,phi,11,0.000254754,1.64223e-05,0.00511127,1.16123e-05
0,no corr, cluster,phi,13.5,0.000278241,1.19277e-05,0.00470805,8.43417e-06
0,no corr, cluster,phi,17.5,0.000194285,7.93595e-06,0.00434021,5.61156e-06
0,no corr, cluster,phi,25,-6.33864e-05,4.54777e-06,0.00385941,3.21576e-06
1,CorrectPosition, cluster,phi,3,1.38505e-05,1.46367e-05,0.00690387,1.03497e-05
1,CorrectPosition, cluster,phi,5,0.000215186,1.6651e-05,0.00727979,1.17741e-05
1,CorrectPosition, cluster,phi,7,0.000397183,1.82536e-05,0.0064556,1.29073e-05
1,CorrectPosition, cluster,phi,9,0.000322697,1.70148e-05,0.0054088,1.20313e-05
1,CorrectPosition, cluster,phi,11,0.000278518,1.53796e-05,0.00478674,1.0875e-05
1,CorrectPosition, cluster,phi,13.5,0.000232041,1.13098e-05,0.00446415,7.99725e-06
1,CorrectPosition, cluster,phi,17.5,0.00012893,7.48728e-06,0.00409483,5.29431e-06
1,CorrectPosition, cluster,phi,25,-0.000137606,4.10372e-06,0.00348257,2.90177e-06
