series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,2.99911e-05,1.45449e-05,0.00686055,1.02848e-05
0,no corr, scratch,phi,5,0.000110949,1.63611e-05,0.00715302,1.1569e-05
0,no corr, scratch,phi,7,0.000244459,1.86239e-05,0.00658653,1.31691e-05
0,no corr, scratch,phi,9,0.000273436,1.78746e-05,0.00568213,1.26392e-05
0,no corr, scratch,phi,11,0.000260669,1.60295e-05,0.00498901,1.13346e-05
0,no corr, scratch,phi,13.5,0.000229326,1.14883e-05,0.00453461,8.12346e-06
0,no corr, scratch,phi,17.5,0.000138415,7.58369e-06,0.00414756,5.36248e-06
0,no corr, scratch,phi,25,-8.35479e-05,4.36569e-06,0.00370489,3.08701e-06
1,no corr, cluster,phi,3,5.27568e-05,1.44983e-05,0.00683857,1.02518e-05
1,no corr, cluster,phi,5,0.000102991,1.63955e-05,0.00716809,1.15934e-05
1,no corr, cluster,phi,7,0.000217868,1.87673e-05,0.00663727,1.32705e-05
1,no corr, cluster,phi,9,0.000229884,1.8158e-05,0.00577223,1.28397e-05
1,no corr, cluster,phi,11,0.000254754,1.64223e-05,0.00511127,1.16123e-05
1,no corr, cluster,phi,13.5,0.000278241,1.19277e-05,0.00470805,8.43417e-06
1,no corr, cluster,phi,17.5,0.000194285,7.93595e-06,0.00434021,5.61156e-06
1,no corr, cluster,phi,25,-6.33864e-05,4.54777e-06,0.00385941,3.21576e-06
2,no corr, scratch,eta,3,-3.14582e-05,3.31373e-05,0.0156253,2.34316e-05
2,no corr, scratch,eta,5,9.95647e-06,2.809e-05,0.0122806,1.98626e-05
2,no corr, scratch,eta,7,-8.25098e-06,2.68598e-05,0.00949925,1.89927e-05
2,no corr, scratch,eta,9,1.00195e-05,2.36151e-05,0.00750697,1.66984e-05
2,no corr, scratch,eta,11,-5.02426e-05,1.9883e-05,0.00618836,1.40594e-05
2,no corr, scratch,eta,13.5,-2.9018e-05,1.32501e-05,0.00523,9.36922e-06
2,no corr, scratch,eta,17.5,-1.67684e-05,8.22888e-06,0.00450041,5.8187e-06
2,no corr, scratch,eta,25,-5.4111e-06,4.75397e-06,0.0040344,3.36156e-06
3,no corr, cluster,eta,3,1.4791e-06,3.32209e-05,0.0156679,2.34907e-05
3,no corr, cluster,eta,5,4.67675e-05,2.81994e-05,0.0123275,1.994e-05
3,no corr, cluster,eta,7,5.19309e-05,2.70559e-05,0.00956839,1.91314e-05
3,no corr, cluster,eta,9,6.53073e-05,2.38368e-05,0.00757744,1.68552e-05
3,no corr, cluster,eta,11,4.81057e-06,2.0051e-05,0.00624067,1.41782e-05
3,no corr, cluster,eta,13.5,8.20282e-06,1.33428e-05,0.0052666,9.43478e-06
3,no corr, cluster,eta,17.5,4.8829e-06,8.28772e-06,0.00453259,5.8603e-06
3,no corr, cluster,eta,25,1.55252e-05,4.80435e-06,0.00407715,3.39719e-06
