series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,eta,3,-3.14582e-05,3.31373e-05,0.0156253,2.34316e-05
0,from scratch,eta,5,9.95647e-06,2.809e-05,0.0122806,1.98626e-05
0,from scratch,eta,7,-8.25098e-06,2.68598e-05,0.00949925,1.89927e-05
0,from scratch,eta,9,1.00195e-05,2.36151e-05,0.00750697,1.66984e-05
0,from scratch,eta,11,-5.02426e-05,1.9883e-05,0.00618836,1.40594e-05
0,from scratch,eta,13.5,-2.9018e-05,1.32501e-05,0.00523,9.36922e-06
0,from scratch,eta,17.5,-1.67684e-05,8.22888e-06,0.00450041,5.8187e-06
0,from scratch,eta,25,-5.4111e-06,4.75397e-06,0.0040344,3.36156e-06
1,clusterizer,eta,3,1.4791e-06,3.32209e-05,0.0156679,2.34907e-05
1,clusterizer,eta,5,4.67675e-05,2.81994e-05,0.0123275,1.994e-05
1,clusterizer,eta,7,5.19309e-05,2.70559e-05,0.00956839,1.91314e-05
1,clusterizer,eta,9,6.53073e-05,2.38368e-05,0.00757744,1.68552e-05
1,clusterizer,eta,11,4.81057e-06,2.0051e-05,0.00624067,1.41782e-05
1,clusterizer,eta,13.5,8.20282e-06,1.33428e-05,0.0052666,9.43478e-06
1,clusterizer,eta,17.5,4.8829e-06,8.28772e-06,0.00453259,5.8603e-06
1,clusterizer,eta,25,1.55252e-05,4.80435e-06,0.00407715,3.39719e-06
