series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,phi,3,2.99911e-05,1.45449e-05,0.00686055,1.02848e-05
0,from scratch,phi,5,0.000110949,1.63611e-05,0.00715302,1.1569e-05
0,from scratch,phi,7,0.000244459,1.86239e-05,0.00658653,1.31691e-05
0,from scratch,phi,9,0.000273436,1.78746e-05,0.00568213,1.26392e-05
0,from scratch,phi,11,0.000260669,1.60295e-05,0.00498901,1.13346e-05
0,from scratch,phi,13.5,0.000229326,1.14883e-05,0.00453461,8.12346e-06
0,from scratch,phi,17.5,0.000138415,7.58369e-06,0.00414756,5.36248e-06
0,from scratch,phi,25,-8.35479e-05,4.36569e-06,0.00370489,3.08701e-06
1,clusterizer,phi,3,5.27568e-05,1.44983e-05,0.00683857,1.02518e-05
1,clusterizer,phi,5,0.000102991,1.63955e-05,0.00716809,1.15934e-05
1,clusterizer,phi,7,0.000217868,1.87673e-05,0.00663727,1.32705e-05
1,clusterizer,phi,9,0.000229884,1.8158e-05,0.00577223,1.28397e-05
1,clusterizer,phi,11,0.000254754,1.64223e-05,0.00511127,1.16123e-05
1,clusterizer,phi,13.5,0.000278241,1.19277e-05,0.00470805,8.43417e-06
1,clusterizer,phi,17.5,0.000194285,7.93595e-06,0.00434021,5.61156e-06
1,clusterizer,phi,25,-6.33864e-05,4.54777e-06,0.00385941,3.21576e-06
