series,variant,residual,E,mu,dmu,sigma,dsigma
0,b(E) corr, scratch,phi,3,2.26242e-05,1.46442e-05,0.00690741,1.0355e-05
0,b(E) corr, scratch,phi,5,0.000194269,1.66134e-05,0.00726334,1.17474e-05
0,b(E) corr, scratch,phi,7,0.000392202,1.81367e-05,0.00641424,1.28246e-05
0,b(E) corr, scratch,phi,9,0.000307072,1.67385e-05,0.00532096,1.18359e-05
0,b(E) corr, scratch,phi,11,0.000223217,1.4934e-05,0.00464805,1.05599e-05
0,b(E) corr, scratch,phi,13.5,0.000164499,1.08408e-05,0.00427904,7.66562e-06
0,b(E) corr, scratch,phi,17.5,8.77033e-05,7.12763e-06,0.00389814,5.03999e-06
0,b(E) corr, scratch,phi,25,-0.000144185,3.89744e-06,0.00330751,2.75591e-06
1,CorrectPosition, cluster,phi,3,1.38505e-05,1.46367e-05,0.00690387,1.03497e-05
1,CorrectPosition, cluster,phi,5,0.000215186,1.6651e-05,0.00727979,1.17741e-05
1,CorrectPosition, cluster,phi,7,0.000397183,1.82536e-05,0.0064556,1.29073e-05
1,CorrectPosition, cluster,phi,9,0.000322697,1.70148e-05,0.0054088,1.20313e-05
1,CorrectPosition, cluster,phi,11,0.000278518,1.53796e-05,0.00478674,1.0875e-05
1,CorrectPosition, cluster,phi,13.5,0.000232041,1.13098e-05,0.00446415,7.99725e-06
1,CorrectPosition, cluster,phi,17.5,0.00012893,7.48728e-06,0.00409483,5.29431e-06
1,CorrectPosition, cluster,phi,25,-0.000137606,4.10372e-06,0.00348257,2.90177e-06
2,b(E) corr, scratch,eta,3,-3.35389e-05,3.21602e-05,0.015169,2.27407e-05
2,b(E) corr, scratch,eta,5,1.45912e-05,2.68804e-05,0.011752,1.90073e-05
2,b(E) corr, scratch,eta,7,-7.91519e-06,2.54424e-05,0.00899797,1.79905e-05
2,b(E) corr, scratch,eta,9,9.307e-06,2.22987e-05,0.00708851,1.57676e-05
2,b(E) corr, scratch,eta,11,-3.96614e-05,1.88339e-05,0.00586186,1.33176e-05
2,b(E) corr, scratch,eta,13.5,-2.96919e-05,1.25817e-05,0.00496619,8.89661e-06
2,b(E) corr, scratch,eta,17.5,-1.70225e-05,7.70207e-06,0.0042123,5.44619e-06
2,b(E) corr, scratch,eta,25,-7.70495e-06,4.21285e-06,0.00357519,2.97894e-06
3,CorrectPosition, cluster,eta,3,3.08345e-06,3.21855e-05,0.0151811,2.27586e-05
3,CorrectPosition, cluster,eta,5,7.34668e-05,2.7011e-05,0.0118089,1.90997e-05
3,CorrectPosition, cluster,eta,7,7.96728e-05,2.5808e-05,0.0091272,1.8249e-05
3,CorrectPosition, cluster,eta,9,9.57963e-05,2.29326e-05,0.00729001,1.62158e-05
3,CorrectPosition, cluster,eta,11,4.345e-05,1.96477e-05,0.00611514,1.3893e-05
3,CorrectPosition, cluster,eta,13.5,2.1932e-05,1.33161e-05,0.00525606,9.41589e-06
3,CorrectPosition, cluster,eta,17.5,1.4652e-05,8.29938e-06,0.00453897,5.86855e-06
3,CorrectPosition, cluster,eta,25,1.86979e-05,4.60837e-06,0.00391083,3.25861e-06
