series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),phi,3,2.26242e-05,1.46442e-05,0.00690741,1.0355e-05
0,from scratch (corr),phi,5,0.000194269,1.66134e-05,0.00726334,1.17474e-05
0,from scratch (corr),phi,7,0.000392202,1.81367e-05,0.00641424,1.28246e-05
0,from scratch (corr),phi,9,0.000307072,1.67385e-05,0.00532096,1.18359e-05
0,from scratch (corr),phi,11,0.000223217,1.4934e-05,0.00464805,1.05599e-05
0,from scratch (corr),phi,13.5,0.000164499,1.08408e-05,0.00427904,7.66562e-06
0,from scratch (corr),phi,17.5,8.77033e-05,7.12763e-06,0.00389814,5.03999e-06
0,from scratch (corr),phi,25,-0.000144185,3.89744e-06,0.00330751,2.75591e-06
1,clusterizer (corr),phi,3,1.38505e-05,1.46367e-05,0.00690387,1.03497e-05
1,clusterizer (corr),phi,5,0.000215186,1.6651e-05,0.00727979,1.17741e-05
1,clusterizer (corr),phi,7,0.000397183,1.82536e-05,0.0064556,1.29073e-05
1,clusterizer (corr),phi,9,0.000322697,1.70148e-05,0.0054088,1.20313e-05
1,clusterizer (corr),phi,11,0.000278518,1.53796e-05,0.00478674,1.0875e-05
1,clusterizer (corr),phi,13.5,0.000232041,1.13098e-05,0.00446415,7.99725e-06
1,clusterizer (corr),phi,17.5,0.00012893,7.48728e-06,0.00409483,5.29431e-06
1,clusterizer (corr),phi,25,-0.000137606,4.10372e-06,0.00348257,2.90177e-06
